subject,TRIAL_INDEX,sentences,item,condition,compound_noun,plausibility,predictability,Whose,predictability_binary,log_predictability,TOTAL_DURATION,FIRST_FIXATION_DURATION,GAZE_DURATION,FIRST_PASS_REGRESSION,REGRESSION_PATH_DURATION,region
202,4,*Sally said she found that new* graduate* school* everyone was* talking about.*,25,Plausible,graduate school,4.26087,0.1368266,Ours,High,-1.9890408482511133,234,234,234,0,234,n1
202,7,*The new principal visited the* cafeteria* manager* at the* end of the school day.*,57,Plausible,cafeteria manager,6.52,0.002809,Staubs,Low,-5.874926730860031,741,286,286,1,452,n1
202,10,*Jane listened carefully to the* package* deal* to make* sure it was a bargain.*,56,Implausible,package deal,3.391304,0.006036,Staubs,Low,-5.1100137380765345,350,350,350,0,350,n1
202,12,*The maid caught the* elevator* mechanic* who was* goofing off.*,73,Plausible,elevator mechanic,4.347826,1.99e-4,Staubs,Low,-8.522205733239781,372,171,171,0,171,n1
202,13,*Jane looked forward to visiting the* concert* hall* after it* had been remodeled.*,44,Implausible,concert hall,4,0.05123,Staubs,Low,-2.9714299810310263,414,275,275,0,275,n1
202,18,*Gordon calculated the* service* charges* at the* local mortgage company.*,64,Implausible,service charges,4.48,0.001149,Staubs,Low,-6.768863280115518,471,213,213,1,690,n1
202,20,*Mary bought the* safety* belt* because it* was a big improvement.*,60,Implausible,safety belt,3.043478,0.002332,Staubs,Low,-6.0610290104938915,249,249,249,0,249,n1
202,23,*The new taxi driver needed the* license* plate* for the* cab he just bought.*,45,Plausible,license plate,5,0.0324,Staubs,Low,-3.4295968561838532,316,233,233,0,233,n1
202,25,*I was really worried after I read about the* wastewater* treatment* because it* wasn't adequately tested.*,21,Plausible,wastewater treatment,5.083333,0.1460549,Ours,High,-1.9237727005571241,1019,396,396,0,396,n1
202,27,*Kimmy panicked when she realized that she left the faucet running in the* locker* room* after gym* class.*,4,Implausible,locker room,2.833333,0.5015731,Ours,High,-0.6900059194906343,218,218,218,0,218,n1
202,32,*Kim heard about the* party* outfit* that her* mother had chosen.*,81,Plausible,party outfit,6.173913,1.54e-5,Staubs,Low,-11.081143048544691,245,245,245,0,245,n1
202,38,*The mechanic scoffed at the idea of building* diesel* engines* into the* antique cars.*,32,Implausible,diesel engines,3,0.1189083,Ours,High,-2.129402671161631,288,288,288,0,288,n1
202,43,*The manager logged the* dairy* products* in the* tracking system.*,12,Implausible,dairy products,3.458333,0.1916258,Ours,High,-1.6522107669782602,225,225,225,1,480,n1
