posterior_mu,generation,estimated_p_theta,Overall.Frequency
0.6357897338908312,500,0.6357897338908312,50
0.603001465867846,500,0.603001465867846,50
0.6184417335894494,500,0.6184417335894494,50
0.5513529158411381,500,0.5513529158411381,50
0.4852851130922589,500,0.4852851130922589,50
0.5188374790049904,500,0.5188374790049904,50
0.5183100071827809,500,0.5183100071827809,50
0.5856008128042605,500,0.5856008128042605,50
0.7002900523855673,500,0.7002900523855673,50
0.518192332471994,500,0.518192332471994,50
0.6526383329294221,500,0.6526383329294221,50
0.46910969838224326,500,0.46910969838224326,50
0.7011853109571654,500,0.7011853109571654,50
0.4502706438809436,500,0.4502706438809436,50
0.5520224656375982,500,0.5520224656375982,50
0.5851077618287224,500,0.5851077618287224,50
0.5503101413637842,500,0.5503101413637842,50
0.4845924292279346,500,0.4845924292279346,50
0.46665589960007364,500,0.46665589960007364,50
0.7848300337052879,500,0.7848300337052879,50
0.48435444790778914,500,0.48435444790778914,50
0.5344563777259315,500,0.5344563777259315,50
0.7523275322721217,500,0.7523275322721217,50
0.686169154888169,500,0.686169154888169,50
0.5177287997776806,500,0.5177287997776806,50
0.5525733013161234,500,0.5525733013161234,50
0.6534101062227654,500,0.6534101062227654,50
0.5173791590549865,500,0.5173791590549865,50
0.5002529329256692,500,0.5002529329256692,50
0.5847399460256926,500,0.5847399460256926,50
0.517397193314366,500,0.517397193314366,50
0.5355536451684948,500,0.5355536451684948,50
0.4516179422998163,500,0.4516179422998163,50
0.6853800774354929,500,0.6853800774354929,50
0.3993518699591999,500,0.3993518699591999,50
0.4999746364647858,500,0.4999746364647858,50
0.6187208907418622,500,0.6187208907418622,50
0.6361931758662193,500,0.6361931758662193,50
0.4528035415132987,500,0.4528035415132987,50
0.6862994441751453,500,0.6862994441751453,50
0.6020049010795139,500,0.6020049010795139,50
0.38430879710561705,500,0.38430879710561705,50
0.6523451711852208,500,0.6523451711852208,50
0.484798044321245,500,0.484798044321245,50
0.4841906245000407,500,0.4841906245000407,50
0.685226197323556,500,0.685226197323556,50
0.7023455062121687,500,0.7023455062121687,50
0.5004708615255518,500,0.5004708615255518,50
0.44953082672229605,500,0.44953082672229605,50
0.5866301908285592,500,0.5866301908285592,50
0.7201248956732266,500,0.7201248956732266,50
0.4652713020217252,500,0.4652713020217252,50
0.40081658118066726,500,0.40081658118066726,50
0.687008731408107,500,0.687008731408107,50
0.5376895512705934,500,0.5376895512705934,50
0.5179751078926834,500,0.5179751078926834,50
0.7188367709254784,500,0.7188367709254784,50
0.7064700932892978,500,0.7064700932892978,50
0.7002641103801984,500,0.7002641103801984,50
0.4000218450476302,500,0.4000218450476302,50
0.6856134335819772,500,0.6856134335819772,50
0.5861254994903375,500,0.5861254994903375,50
0.6187985382629323,500,0.6187985382629323,50
0.5670512875223984,500,0.5670512875223984,50
0.583584705735714,500,0.583584705735714,50
0.6199367783874689,500,0.6199367783874689,50
0.5684644814163309,500,0.5684644814163309,50
0.46714309597491266,500,0.46714309597491266,50
0.38244238691471744,500,0.38244238691471744,50
0.46775166811107316,500,0.46775166811107316,50
0.6691227367234156,500,0.6691227367234156,50
0.5509438994387345,500,0.5509438994387345,50
0.5356373007474188,500,0.5356373007474188,50
0.5679251031918164,500,0.5679251031918164,50
0.5342062605022991,500,0.5342062605022991,50
0.7040994522021746,500,0.7040994522021746,50
0.5317670897197649,500,0.5317670897197649,50
0.5681491559527925,500,0.5681491559527925,50
0.5497634686768127,500,0.5497634686768127,50
0.5859223609990459,500,0.5859223609990459,50
0.5366341727619456,500,0.5366341727619456,50
0.6038804364651529,500,0.6038804364651529,50
0.5698602366540239,500,0.5698602366540239,50
0.6340346634091474,500,0.6340346634091474,50
0.5517300607505417,500,0.5517300607505417,50
0.6361746908329268,500,0.6361746908329268,50
0.6856609194745765,500,0.6856609194745765,50
0.5360457037909593,500,0.5360457037909593,50
0.6698699008616434,500,0.6698699008616434,50
0.5843828643602308,500,0.5843828643602308,50
0.5335453142825223,500,0.5335453142825223,50
0.564812896782109,500,0.564812896782109,50
0.6855266643166363,500,0.6855266643166363,50
0.6340727800118626,500,0.6340727800118626,50
0.5000048872318738,500,0.5000048872318738,50
0.519966587991452,500,0.519966587991452,50
0.6193835976740631,500,0.6193835976740631,50
0.5536973889948944,500,0.5536973889948944,50
0.5188662771946552,500,0.5188662771946552,50
0.7362710672909246,500,0.7362710672909246,50
0.6538017249619738,500,0.6538017249619738,50
0.2829970931585377,500,0.2829970931585377,50
0.6359455472831137,500,0.6359455472831137,50
0.48399608059660165,500,0.48399608059660165,50
0.6020078481539543,500,0.6020078481539543,50
0.5504616251260523,500,0.5504616251260523,50
0.4661192756839342,500,0.4661192756839342,50
0.5336853162567945,500,0.5336853162567945,50
0.6514005242563956,500,0.6514005242563956,50
0.5685850549262536,500,0.5685850549262536,50
0.5532709040065861,500,0.5532709040065861,50
0.5501063576948815,500,0.5501063576948815,50
0.5522510425354249,500,0.5522510425354249,50
0.5183218210069809,500,0.5183218210069809,50
0.46989292326889115,500,0.46989292326889115,50
0.569635516535215,500,0.569635516535215,50
0.5659313688326983,500,0.5659313688326983,50
0.45171386854792817,500,0.45171386854792817,50
0.43513747551391674,500,0.43513747551391674,50
0.7187955994339451,500,0.7187955994339451,50
0.5693600107562804,500,0.5693600107562804,50
0.4335181427598399,500,0.4335181427598399,50
0.40227138150166564,500,0.40227138150166564,50
0.4517706999509881,500,0.4517706999509881,50
0.5366973603840152,500,0.5366973603840152,50
0.5510687767576443,500,0.5510687767576443,50
0.5840321113768364,500,0.5840321113768364,50
0.7351021386128687,500,0.7351021386128687,50
0.7868642284492335,500,0.7868642284492335,50
0.6012163184863341,500,0.6012163184863341,50
0.4989580656615765,500,0.4989580656615765,50
0.5674507702815264,500,0.5674507702815264,50
0.6849438831963175,500,0.6849438831963175,50
0.6522024264425487,500,0.6522024264425487,50
0.5360213631760449,500,0.5360213631760449,50
0.5160837626704999,500,0.5160837626704999,50
0.5368473822041171,500,0.5368473822041171,50
0.6865193240633858,500,0.6865193240633858,50
0.5687802910917586,500,0.5687802910917586,50
0.5675311152520593,500,0.5675311152520593,50
0.6177991487298085,500,0.6177991487298085,50
0.5866849126107259,500,0.5866849126107259,50
0.5345867240329558,500,0.5345867240329558,50
0.4853058532278265,500,0.4853058532278265,50
0.568522861262409,500,0.568522861262409,50
0.6876408814345707,500,0.6876408814345707,50
0.7011416106022427,500,0.7011416106022427,50
0.5175178863899526,500,0.5175178863899526,50
0.40310681327457426,500,0.40310681327457426,50
0.46829836731156654,500,0.46829836731156654,50
0.6166774710778562,500,0.6166774710778562,50
0.5835569928720381,500,0.5835569928720381,50
0.5362762863671816,500,0.5362762863671816,50
0.3979644738935333,500,0.3979644738935333,50
0.6022692238079501,500,0.6022692238079501,50
0.6006847766668298,500,0.6006847766668298,50
