,binom,Alpha Probs,Nonalpha Probs
0,kiwis and wolverines,-44.869140625,-44.96484375
1,kiwis and narwhals,-42.326171875,-42.09375
2,kiwis and ocelots,-43.365234375,-44.55859375
3,ibex and kiwis,-38.294921875,-39.169921875
4,harpies and kiwis,-31.63134765625,-41.490234375
5,axolotls and wolverines,-48.8466796875,-56.3046875
6,axolotls and ibex,-49.29296875,-49.4296875
7,axolotls and harpies,-50.671875,-45.146484375
8,axolotls and keas,-51.234375,-52.33203125
9,axolotls and bonobos,-50.3134765625,-51.501953125
10,axolotls and wombats,-52.96484375,-49.685546875
11,axolotls and lions,-47.546875,-45.615234375
12,ocelots and platypuses,-52.494140625,-50.478515625
13,ibex and platypuses,-45.5546875,-45.09375
14,harpies and platypuses,-40.818359375,-44.357421875
15,keas and platypuses,-44.96875,-49.173828125
16,bonobos and platypuses,-46.888671875,-46.220703125
17,harpies and wolverines,-34.263671875,-45.16796875
18,keas and wolverines,-46.3125,-47.6015625
19,bonobos and wolverines,-41.5126953125,-46.0546875
20,capybaras and ibex,-51.7109375,-48.6875
21,capybaras and harpies,-51.619140625,-44.275390625
22,capybaras and keas,-52.2421875,-48.74609375
23,ibex and narwhals,-40.18359375,-41.765625
24,harpies and narwhals,-37.6171875,-38.49169921875
25,keas and narwhals,-44.75,-45.82421875
26,ibex and ocelots,-42.22265625,-46.763671875
27,keas and ocelots,-40.9921875,-47.396484375
28,bonobos and ocelots,-42.755859375,-47.29296875
29,harpies and ibex,-35.197265625,-38.94140625
30,ibex and keas,-36.09375,-38.48046875
31,bonobos and ibex,-39.95703125,-38.59765625
32,ibex and koalas,-39.93359375,-46.48046875
33,ibex and sloths,-36.953125,-39.419921875
34,aardvarks and ibex,-53.2578125,-47.0859375
35,harpies and keas,-35.623046875,-39.27734375
36,bonobos and harpies,-41.80859375,-33.3740234375
37,harpies and koalas,-35.724609375,-44.41015625
38,harpies and wombats,-38.986328125,-40.16015625
39,aardvarks and harpies,-48.79296875,-41.083984375
40,bonobos and keas,-41.509765625,-38.423828125
41,keas and koalas,-41.541015625,-41.9921875
42,keas and sloths,-35.6796875,-41.166015625
43,keas and wombats,-43.68359375,-44.662109375
44,keas and lions,-34.6328125,-36.646484375
45,aardvarks and keas,-51.6796875,-49.185546875
46,bonobos and wombats,-47.962890625,-41.697265625
47,aardvarks and bonobos,-53.02734375,-50.251953125
48,ocarinas and vibraphones,-47.677734375,-52.46484375
49,cymbals and ocarinas,-45.443359375,-43.615234375
50,clarinets and ocarinas,-47.546875,-39.52978515625
51,cellos and ocarinas,-48.33984375,-40.57421875
52,didgeridoos and vibraphones,-67.76171875,-63.328125
53,lutes and marimbas,-39.728515625,-41.267578125
54,kalimbas and lutes,-47.14453125,-45.173828125
55,clarinets and kalimbas,-50.84375,-45.322265625
56,kalimbas and trumpets,-46.3056640625,-50.427734375
57,cellos and kalimbas,-53.875,-46.037109375
58,kalimbas and saxophones,-45.604095458984375,-47.42333984375
59,lutes and saxophones,-35.798828125,-34.60302734375
60,casserole and eagle,-35.478515625,-32.5703125
61,kite and linguist,-32.61474609375,-31.556640625
62,algorithm and perfume,-31.609375,-31.28515625
63,forest and screwdriver,-32.859375,-37.04296875
64,slipper and volcano,-31.55859375,-33.4140625
65,harmonica and microscope,-40.19140625,-34.841796875
66,cookbook and zenith,-39.38671875,-40.1953125
67,hammock and hydrogen,-34.20947265625,-34.16748046875
68,neuron and toaster,-32.34375,-35.412109375
69,marshmallow and telescope,-35.8115234375,-33.966796875
70,casserole and optics,-37.751953125,-34.558837890625
71,encyclopedia and comet,-32.3984375,-30.08203125
72,nimbus and waffle,-38.41796875,-32.904296875
73,photon and pumpkin,-32.20703125,-31.015625
74,lantern and syntax,-34.05078125,-31.21875
75,echo and vineyard,-31.9755859375,-33.669921875
76,nebula and snowman,-34.439453125,-34.177734375
77,botany and teapot,-43.42578125,-39.841796875
78,chisel and kaleidoscope,-39.79296875,-41.755859375
79,lava and teacup,-34.4609375,-36.625
80,entropy and orchard,-36.22265625,-37.203125
81,axolotl and vineyard,-45.2646484375,-48.2890625
82,clockwork and meadow,-34.908203125,-38.61328125
83,algebra and telescope,-31.37109375,-28.28125
84,arcade and topaz,-32.501953125,-33.14697265625
85,asteroid and compass,-28.94140625,-29.84375
86,bicycle and nebula,-36.154296875,-36.705078125
87,bungalow and entropy,-36.9912109375,-37.125
88,carnation and gnome,-35.490234375,-35.96484375
89,cinnamon and harmonica,-31.76171875,-40.87109375
90,coral and syntax,-33.15234375,-32.0234375
91,dandelion and pendulum,-35.609375,-37.927734375
92,delirium and telescope,-37.9453125,-33.9873046875
93,anchors and sandstorms,-34.998046875,-34.37890625
94,scissors and volcanoes,-34.533203125,-37.12109375
95,equations and lanterns,-33.3896484375,-33.498046875
96,satellites and tulips,-31.3466796875,-31.916015625
97,compasses and hedgehogs,-36.346923828125,-36.4599609375
98,comets and neckties,-36.47265625,-39.8046875
99,castles and headphones,-30.203125,-30.421875
100,paperclips and pyramids,-36.42431640625,-39.2109375
101,constellations and kettles,-45.7705078125,-40.1531982421875
102,kaleidoscopes and whales,-45.076171875,-40.331787109375
103,meadows and pianos,-34.796875,-32.115234375
104,magnets and zebras,-32.658203125,-34.94921875
105,parrots and submarines,-35.3505859375,-31.3701171875
