binom,Alpha Probs,Nonalpha Probs,ProbAandB
men and women,-41.26908630132675,-43.689458310604095,0.9183676378641027
black and white,-53.575146143790334,-56.22946242010221,0.9342765240297752
day and night,-42.26714809797704,-43.11095194146037,0.699265744096671
boys and girls,-30.600695878267288,-35.39552313089371,0.9917954438533862
left and right,-31.845857210457325,-35.11974650621414,0.9635221164741173
female and male,-55.64054242064594,-54.021691192960134,0.16536336087057307
father and mother,-57.23736310005188,-56.31883533298969,0.28525796685425286
goods and services,-62.653692707652226,-67.533759604441,0.9924607660062442
north and south,-54.45312671363354,-54.84296931326389,0.5962448077880167
development and research,-63.47522287070751,-59.46487098187208,0.017804277016016012
place and time,-48.43679424840957,-49.04311683215201,0.6471014780371147
death and life,-44.34817356709391,-40.952425294555724,0.03242860623176563
brothers and sisters,-48.710599184036255,-52.493083238601685,0.9777406880608195
husband and wife,-55.951443625381216,-59.2992073422065,0.9660315295015823
gas and oil,-67.59935231844429,-68.31896604935173,0.6725219523096837
pepper and salt,-57.00867550820112,-51.35389859974384,0.0034885414628661065
fall and rise,-72.01350436080247,-67.99915093649179,0.017734435879072665
arms and legs,-53.36837258934975,-53.190145045518875,0.4555606865897883
fruits and vegetables,-44.06620343402028,-46.956853322684765,0.9473822873433513
arts and sciences,-76.677724607056,-81.17685417248867,0.9890035950003434
gentlemen and ladies,-79.03065133094788,-77.29388213157654,0.1497237713665544
feelings and thoughts,-67.34070615912788,-66.1810208405368,0.23872446911139825
diagnosis and treatment,-57.70958811044693,-60.04318022727966,0.9116211746851773
groups and individuals,-44.100884675979614,-42.20170372724533,0.13020120288546108
knowledge and skills,-67.88108286261559,-68.85846841335297,0.7265891445507033
heart and mind,-46.531180039048195,-48.75425201281905,0.902302333766993
influence and power,-55.127585016191006,-51.76345065701753,0.03343535337903067
Africa and Asia,-59.88374948501587,-59.89134609699249,0.5018991438611006
addresses and names,-75.81348021700978,-67.80847795307636,3.3367736763951e-4
poetry and prose,-56.628795340657234,-54.90099687874317,0.15086939726997808
forefinger and thumb,-63.48277044296265,-64.31549505516887,0.6969307263453768
minerals and vitamins,-38.309601198881865,-35.88231486082077,0.08111550233876497
fall and winter,-75.66088496427983,-80.35467566549778,0.990931070100156
light and shadow,-47.80601695179939,-49.925333857536316,0.8927665514126618
honey and milk,-53.1667200922966,-55.39094817638397,0.9024042007754915
nose and throat,-64.2710942113772,-63.30065581481904,0.27479312910138415
anger and fear,-61.33769791573286,-60.26590876514092,0.25506298612682915
head and tail,-45.6947340965271,-47.59031918644905,0.8693910284518664
novels and stories,-49.36555027961731,-51.38654217123985,0.8829835338886501
sunrise and sunset,-47.74066913127899,-54.08169078826904,0.998240600297529
sympathy and understanding,-64.31500660814345,-67.25234276801348,0.9496615356834855
shoes and socks,-54.32856364548206,-53.85150061547756,0.38294588734649165
equipment and personnel,-72.13334822282195,-73.19334150850773,0.7426892621864236
eyes and face,-76.54375314712524,-77.12984031438828,0.6424668574109974
ink and paper,-44.53661652095616,-46.346487794071436,0.8593463157380193
muscles and nerves,-55.34755697846413,-55.52870789170265,0.545164287838949
charts and maps,-88.33468814380467,-85.0475630890578,0.03601552637025422
elbows and knees,-45.997195452451706,-46.0803047567606,0.5207653749784582
Christmas and Easter,-41.408562421798706,-42.54953861236572,0.7578588236796568
nature and size,-50.00746315345168,-50.18006189819425,0.5430428840706943
gums and teeth,-45.08220608532429,-41.51437576015451,0.027442659281765723
chairs and sofas,-53.18396575432416,-50.81640488374978,0.08568002529372463
characters and situations,-50.805036813020706,-55.3942893743515,0.9899417465308931
joy and pleasure,-59.829119748435915,-61.60568838985637,0.8552726452906735
Thursday and Tuesday,-66.30997174978256,-64.5198557972908,0.14305850795444197
barley and oats,-62.46363765001297,-62.8063725233078,0.5848547030147335
beauty and dignity,-52.15093778446317,-49.948084864765406,0.09949458837353985
boats and ships,-56.024337112903595,-55.31920039653778,0.33067433725018375
misery and pain,-59.826646119588986,-59.08264339284506,0.32212947846863127
bones and skulls,-36.65635271581414,-36.227439894137206,0.3943859695728299
dairy and poultry,-57.40572746563703,-56.73235106188804,0.3377412202694975
being and existence,-75.61243896186352,-68.58344092965126,8.850349174363449e-4
radar and radio,-47.056249141693115,-46.62917643785477,0.39482555906974565
humility and pride,-50.221940495073795,-50.22654373943806,0.5011508090589427
pitch and volume,-51.16685480251908,-52.71514747058973,0.824667003254721
skirt and sweater,-47.83507028222084,-47.778552770614624,0.4858743819366648
linen and silk,-78.73506162839476,-78.87680346274283,0.5353762504664867
checks and money,-71.86798671633005,-73.91297344863415,0.8854400749528566
calluses and corns,-58.6827537342906,-56.666436083614826,0.11750029081435563
action and motion,-59.87589912395924,-61.01978607918136,0.7583925736956807
brain and intelligence,-69.54565891623497,-70.19293695688248,0.6563968134740307
conduct and manners,-46.54897892475128,-47.19426192343235,0.655946711344864
completeness and unity,-61.04714256571606,-61.873229895718396,0.6955269812940169
hostility and indifference,-55.81639042496681,-55.00556004047394,0.30771357402982646
depth and force,-70.5673091225326,-80.86211251467466,0.999966192814858
hours and miles,-38.78725833632052,-41.079777425155044,0.9082555751433227
movements and speech,-67.78930461406708,-66.64731695502996,0.24195561134194601
schools and synagogues,-51.37434479683725,-51.613920703413896,0.5596091354645591
arrangers and composers,-49.280618731630966,-45.64446683973074,0.02567688315204866
happiness and laughter,-58.32538553327322,-57.79265445098281,0.36988013201900766
diagrams and sketches,-49.15424871444702,-47.47583591938019,0.15730575538610914
pail and shovel,-72.08258620137349,-73.08021113323048,0.730591355707925
candies and cookies,-60.7478080522269,-61.02026649314212,0.5676963487876525
county and village,-74.24669563770294,-72.79990839958191,0.19049650569786616
charm and variety,-52.71328318119049,-51.75310479104519,0.27684247961818653
bouquets and wreaths,-62.28280830569565,-61.576360778621165,0.3303842814834138
beech and elm,-74.85241253254935,-75.09134503314272,0.5594505640742267
complexity and obscurity,-66.4018831178546,-66.46852211654186,0.5166535872512374
devotion and effort,-64.31458352413028,-63.9317987523973,0.40545541995340484
alibis and excuses,-55.14884453063132,-56.90942215034738,0.8532819882292768
body and mind,-45.31402299925685,-46.201276045292616,0.7083229725881951
man and woman,-42.86902502179146,-46.2729489505291,0.9678269429531262
law and order,-40.41599034331739,-43.027914081234485,0.9316250398415366
cause and effect,-67.63476172089577,-73.42383436113596,0.9969485206855325
radio and television,-62.295588884619065,-62.90707020711852,0.6482786376711099
feet and hands,-43.527835071086884,-41.937261551618576,0.16930322206318515
money and time,-62.028385281562805,-61.79401081800461,0.4416731379500849
blood and flesh,-66.3997428137809,-58.42117782169953,3.426134671239331e-4
god and man,-57.69379682838917,-58.99840349704027,0.7866092569408372
brother and sister,-45.147651561768726,-47.263772611739114,0.8924602137009244
father and son,-62.62359666824341,-64.86481723189354,0.9038905439020806
men and officers,-77.41140046715736,-74.12931421771646,0.036190875251817814
south and west,-62.82268875837326,-63.96282432973385,0.7577045291991366
error and trial,-59.178102388978004,-42.06643482297659,3.702518045162412e-8
arts and crafts,-51.687282629311085,-58.75665444135666,0.999149955806715
pressure and temperature,-42.66615176200867,-42.36269733309746,0.4247132372716144
days and nights,-45.13561377674341,-47.91154336929321,0.9413611598785013
land and sea,-34.49876303970814,-38.326117023825645,0.9786965787767542
north and west,-39.863795816898346,-41.306210935115814,0.8088283677450433
spring and summer,-40.691136345267296,-43.4470856487751,0.940248466098986
magazines and newspapers,-37.91393184661865,-37.20452804863453,0.32973059242358765
hands and knees,-55.603576817084104,-66.28001576662064,0.999976918105409
moon and sun,-40.97690807282925,-41.38598380982876,0.6008662372267392
fathers and mothers,-69.21703131496906,-68.35496488958597,0.2969077910520315
city and county,-53.50884768366814,-56.85612627863884,0.966015606815897
ears and eyes,-58.438942581415176,-59.66903980821371,0.7738355907801395
college and school,-44.61427283287048,-42.94928514957428,0.1590935954707715
college and university,-50.00551176071167,-50.06026077270508,0.5136838351132147
dark and light,-66.56374313868582,-66.28725703433156,0.4313154640841339
future and past,-67.05055406689644,-62.57965114712715,0.011307658986956648
evening and morning,-58.369868516922,-58.05529057979584,0.42199771146229426
ice and snow,-62.131803542375565,-62.166154807433486,0.5085869718887829
husbands and wives,-50.917571023106575,-53.79554831981659,0.9467469767929481
boys and men,-35.19617466069758,-33.42469962313771,0.14535898951100767
bread and butter,-61.5345722384518,-65.51024011883419,0.981578940312823
head and shoulders,-69.71853505074978,-70.72964365780354,0.7332370493706449
rock and roll,-41.56420371681452,-53.04133760929108,0.9999896357094055
testament and will,-57.38392609357834,-46.03006303310394,1.1723973628050906e-5
engineers and scientists,-35.680907141417265,-34.76492038369179,0.2857763252954464
man and wife,-50.09329232573509,-57.04416364431381,0.9990431162626094
arms and hands,-65.49959175661206,-61.249597830697894,0.014063711265805086
math and science,-49.73858843743801,-51.43435662984848,0.8449812279932093
son and wife,-35.94087094068527,-31.256405293941498,0.009153116012035712
fingers and thumb,-51.79948753118515,-51.771544337272644,0.4930146560418619
flesh and skin,-55.28347837924957,-54.78723740577698,0.3784244597792894
life and religion,-47.13605773448944,-47.12919056415558,0.49828321416321536
conscience and religion,-66.54917073249817,-67.7171036824584,0.762771183508673
pain and pressure,-49.47072568535805,-51.477156952023506,0.8814706677755675
integrity and unity,-63.32111139688641,-60.374624089337885,0.04990279403521938
flowers and hearts,-58.5569948554039,-58.40264284610748,0.4614884273834359
grapefruit and oranges,-53.14164088666439,-50.54329913854599,0.06924521889468996
folklore and legend,-63.90562731027603,-65.17110735177994,0.779968023790224
doctors and fathers,-38.91126602888107,-38.17098891735077,0.32294355007190845
contraction and dilation,-61.83518132939935,-57.68029409646988,0.015445261600910684
ships and weapons,-52.833855650387704,-52.36643233615905,0.38522629160877975
funnels and masts,-47.33034086227417,-48.191332059912384,0.7028677023301859
law and sovereignty,-55.926630556583405,-55.74129244685173,0.45379765196120575
assurance and dignity,-76.9142690836452,-74.23684711451642,0.06431885314431388
mr. and mrs.,-53.938626257295255,-55.18946082750335,0.7774442958384452
bride and groom,-36.91681295633316,-41.65383052825928,0.9913114058610754
feet and legs,-57.39987599849701,-58.71201419830322,0.7878707341149854
peace and quiet,-62.423448257148266,-71.38658139109612,0.9998719719490741
daughter and son,-54.707161605358124,-53.492670863866806,0.2289074306521272
ends and odds,-85.38899911451153,-69.43769745714962,1.181510701839767e-7
city and state,-41.21741992235184,-41.969154953956604,0.6795566362879241
facts and figures,-63.708481192588806,-68.83623307943344,0.9941050796165353
man and nature,-55.15177283110097,-55.26018557418138,0.5270766708923784
prose and verse,-53.911977618932724,-63.16408348083496,0.9999040997305872
body and head,-81.62894581258297,-78.49581377208233,0.04176109183064101
command and control,-53.507791325449944,-53.73492680490017,0.556540996970011
child and wife,-43.88592743873596,-39.113746374845505,0.008390901065270878
aunt and uncle,-52.74601425230503,-54.970253214240074,0.9024051587926887
cattle and horses,-46.87490370206069,-47.16750623029657,0.5726331552136387
politics and religion,-57.29051086306572,-57.809990629553795,0.6270261102742455
July and June,-77.14484749734402,-75.87023210525513,0.21846819688179733
sailors and soldiers,-64.52645826339722,-63.877449959516525,0.34321304856444795
English and German,-47.00468022748828,-47.36212859302759,0.5884226152766336
food and shelter,-46.58381915092468,-50.21670377254486,0.9742412508513156
sights and sounds,-50.79674292355776,-54.50058497488499,0.9759632741273582
comings and goings,-40.79607260587727,-46.04428212306448,0.9947705683095994
heir and son,-47.45012366771698,-40.821985602378845,0.001320876411128004
coat and hat,-71.27030512690544,-71.61043509840965,0.5842220942221906
crime and punishment,-51.17421232163906,-55.54811777174473,0.9875549040690681
earth and sky,-45.845822274684906,-45.6201391518116,0.443817478532392
faith and love,-54.00231075286865,-52.163867980241776,0.13723556722321031
mother and son,-39.11838196218014,-38.90591873973608,0.44708310325394823
cents and dollars,-56.32870562374592,-54.425499111413956,0.1297459907045175
turns and twists,-45.660944847390056,-38.581389147788286,8.41438616418711e-4
fire and police,-44.52530385251157,-45.78714099503122,0.779342199512933
months and years,-50.630362033843994,-53.58295249938965,0.9503857783666768
editor and publisher,-64.8649453446269,-64.14611724764109,0.3276510961468589
aunts and uncles,-45.21757861209517,-51.06055070552975,0.9971081767864948
research and training,-56.44255982339382,-56.465240851044655,0.5056700138464889
eyes and hair,-48.47040994092822,-51.63423637673259,0.9594500783073716
methods and principles,-52.643050285754725,-53.52502379077487,0.7072310128334813
city and country,-40.078733287751675,-42.72642385959625,0.9338685074012992
bread and cheese,-60.34200710058212,-61.85092593729496,0.818900923231391
location and size,-67.15794659778476,-66.5691435560584,0.3569095392180426
childhood and infancy,-65.21901631355286,-61.66221207380295,0.02773847900633074
morning and night,-41.91242402791977,-42.08615982532501,0.5433250267913786
council and governor,-57.04852253198624,-52.38214036822319,0.009318585437956413
age and day,-67.71906290948391,-53.789883992634714,8.925531177273457e-7
