,binom,Alpha Probs,Nonalpha Probs
0,kiwis and wolverines,-39.490234375,-46.166015625
1,kiwis and narwhals,-40.830078125,-42.9453125
2,kiwis and ocelots,-43.51171875,-47.046875
3,ibex and kiwis,-41.935546875,-39.53125
4,harpies and kiwis,-37.1015625,-38.626953125
5,axolotls and wolverines,-47.3876953125,-49.66015625
6,axolotls and ibex,-49.1875,-46.96484375
7,axolotls and harpies,-48.9306640625,-47.896484375
8,axolotls and keas,-50.19921875,-51.455078125
9,axolotls and bonobos,-50.478515625,-49.8984375
10,axolotls and wombats,-48.5419921875,-47.55859375
11,axolotls and lions,-45.9765625,-42.17578125
12,ocelots and platypuses,-48.267578125,-51.3671875
13,ibex and platypuses,-44.109375,-44.8359375
14,harpies and platypuses,-38.341796875,-42.8369140625
15,keas and platypuses,-40.70703125,-47.0390625
16,bonobos and platypuses,-44.8515625,-50.640625
17,harpies and wolverines,-35.75830078125,-42.21630859375
18,keas and wolverines,-44.263671875,-44.974609375
19,bonobos and wolverines,-40.27099609375,-45.3173828125
20,capybaras and ibex,-48.875,-49.0546875
21,capybaras and harpies,-49.7421875,-45.2734375
22,capybaras and keas,-47.4140625,-48.291015625
23,ibex and narwhals,-43.73046875,-41.740234375
24,harpies and narwhals,-41.6015625,-36.912109375
25,keas and narwhals,-44.623046875,-40.361328125
26,ibex and ocelots,-44.5234375,-50.857421875
27,keas and ocelots,-43.998046875,-46.837890625
28,bonobos and ocelots,-43.1796875,-48.26171875
29,harpies and ibex,-38.689453125,-39.84765625
30,ibex and keas,-37.41015625,-41.650390625
31,bonobos and ibex,-41.1328125,-39.0859375
32,ibex and koalas,-43.16796875,-47.54296875
33,ibex and sloths,-37.58984375,-39.8515625
34,aardvarks and ibex,-57.8828125,-51.05078125
35,harpies and keas,-39.615234375,-38.71875
36,bonobos and harpies,-41.0556640625,-36.38037109375
37,harpies and koalas,-39.724609375,-47.05078125
38,harpies and wombats,-40.501953125,-40.21484375
39,aardvarks and harpies,-52.736328125,-48.923828125
40,bonobos and keas,-40.1640625,-38.71142578125
41,keas and koalas,-45.306640625,-43.0390625
42,keas and sloths,-37.263671875,-38.86328125
43,keas and wombats,-43.310546875,-44.025390625
44,keas and lions,-35.490234375,-34.25390625
45,aardvarks and keas,-55.515625,-55.416015625
46,bonobos and wombats,-41.912109375,-42.5771484375
47,aardvarks and bonobos,-54.673828125,-52.912109375
48,ocarinas and vibraphones,-47.2734375,-56.24609375
49,cymbals and ocarinas,-47.591796875,-43.650390625
50,clarinets and ocarinas,-47.888671875,-43.080078125
51,cellos and ocarinas,-43.28515625,-40.244140625
52,didgeridoos and vibraphones,-68.7890625,-68.625
53,lutes and marimbas,-42.126953125,-43.2421875
54,kalimbas and lutes,-48.47265625,-44.955078125
55,clarinets and kalimbas,-50.267578125,-48.23828125
56,kalimbas and trumpets,-45.421875,-53.4765625
57,cellos and kalimbas,-50.75390625,-47.69921875
58,kalimbas and saxophones,-44.963134765625,-48.2919921875
59,lutes and saxophones,-35.16064453125,-36.4599609375
60,casserole and eagle,-34.248046875,-32.77001953125
61,kite and linguist,-32.62890625,-31.99609375
62,algorithm and perfume,-30.5390625,-32.732421875
63,forest and screwdriver,-31.625,-36.353515625
