WordA,WordB,Sentence,reading_times_alpha,reading_times_nonalpha
men,women,The guard instructed the X and Y to form an orderly line.,-54.554572105407715,-53.85751438140869
black,white,Dalmatians found in colors other than X and Y are highly unusual.,-59.71007013320923,-58.85786056518555
day,night,It is harder to tell the difference between X and Y if you can't see.,-53.40085697174072,-56.143187522888184
boys,girls,The teacher separated the X and Y into two groups.,-66.33075904846191,-65.4300127029419
left,right,You should look X and Y before crossing the street.,-66.45339298248291,-63.29141807556152
female,male,The dog breeder has X and Y puppies coming up for sale soon.,-56.07528734207153,-56.0691933631897
father,mother,"Because Stephanie was grounded, her X and Y would not permit her to go out with her friends.",-27.74480414390564,-32.5810432434082
goods,services,The village people would not trade X and Y for money because they don't use currency.,-51.01653480529785,-51.38143444061279
north,south,The family moved X and Y a couple of times before deciding on their current home.,-49.27736473083496,-49.34492111206055
development,research,"The scientist had a lot of X and Y to do, because he had been sick for a long time.",-29.09945583343506,-25.466024577617645
place,time,Finding a X and Y for the meeting was very difficult due to the boss's busy schedule.,-36.166834115982056,-35.971678018569946
death,life,It is hard to tell the difference between X and Y when you are in purgatory.,-53.37833881378174,-53.371445178985596
brothers,sisters,When we were younger my X and Y wanted a Beagle puppy.,-48.381874084472656,-48.31483173370361
husband,wife,Because the X and Y didn't love each other anymore they pondered going their separate ways.,-53.33001232147217,-55.720694065093994
gas,oil,"Sam had just bought a new car and didn't know the difference between X and Y, so she ruined her car.",-13.037524402141571,-12.62430813908577
pepper,salt,The food is in need of X and Y because it's rather bland.,-57.8907675743103,-55.11954307556152
fall,rise,I've gotten particularly ill due to the X and Y of the waves out at sea.,-44.109987020492554,-43.16414833068848
arms,legs,Sandra broke her X and Y because she got into a bike accident.,-56.782654762268066,-56.87842082977295
fruits,vegetables,"Growing up, Paul ate his X and Y everyday in order to be healthy.",-19.899162374436855,-23.109009623527527
arts,sciences,"Carol couldn't decide between X and Y when applying for college majors, so she chose an interdisciplinary route.",-21.229792207479477,-24.999717757105827
