,binom,Alpha Probs,Nonalpha Probs
0,kiwis and wolverines,-45.796875,-35.31884765625
1,kiwis and narwhals,-44.41796875,-37.755859375
2,kiwis and ocelots,-45.146484375,-39.885986328125
3,ibex and kiwis,-36.9453125,-41.05078125
4,harpies and kiwis,-30.7003173828125,-41.556640625
5,axolotls and wolverines,-42.1552734375,-38.83203125
6,axolotls and ibex,-42.017578125,-42.740234375
7,axolotls and harpies,-43.3154296875,-38.3232421875
8,axolotls and keas,-46.68359375,-43.912109375
9,axolotls and bonobos,-43.103759765625,-36.974609375
10,axolotls and wombats,-42.523193359375,-43.021484375
11,axolotls and lions,-40.65234375,-37.2109375
12,ocelots and platypuses,-43.580078125,-41.74951171875
13,ibex and platypuses,-38.8740234375,-40.755859375
14,harpies and platypuses,-32.50146484375,-41.0244140625
15,keas and platypuses,-41.96875,-45.966796875
16,bonobos and platypuses,-33.544921875,-37.3642578125
17,harpies and wolverines,-28.881103515625,-34.7080078125
18,keas and wolverines,-41.0546875,-40.564453125
19,bonobos and wolverines,-33.47265625,-33.971435546875
20,capybaras and ibex,-40.66015625,-42.291015625
21,capybaras and harpies,-41.6591796875,-35.98828125
22,capybaras and keas,-41.724609375,-41.4912109375
23,ibex and narwhals,-36.216796875,-39.140625
24,harpies and narwhals,-30.56488037109375,-35.66015625
25,keas and narwhals,-37.47027587890625,-41.423828125
26,ibex and ocelots,-37.7421875,-41.2578125
27,keas and ocelots,-41.525390625,-44.859375
28,bonobos and ocelots,-32.865234375,-41.2960205078125
29,harpies and ibex,-30.2314453125,-36.3359375
30,ibex and keas,-36.30078125,-36.478515625
31,bonobos and ibex,-32.3037109375,-33.52099609375
32,ibex and koalas,-37.609375,-32.84765625
33,ibex and sloths,-36.13671875,-34.501953125
34,aardvarks and ibex,-44.314453125,-47.26171875
35,harpies and keas,-36.44140625,-36.87158203125
36,bonobos and harpies,-33.011962890625,-31.52734375
37,harpies and koalas,-29.5908203125,-31.53125
38,harpies and wombats,-32.366455078125,-35.903076171875
39,aardvarks and harpies,-44.138671875,-37.27166748046875
40,bonobos and keas,-36.9912109375,-38.42578125
41,keas and koalas,-34.1783447265625,-32.7734375
42,keas and sloths,-35.24609375,-40.1328125
43,keas and wombats,-37.10205078125,-44.26171875
44,keas and lions,-33.36328125,-34.470703125
45,aardvarks and keas,-47.46875,-43.55859375
46,bonobos and wombats,-33.6749267578125,-36.90106201171875
47,aardvarks and bonobos,-43.364013671875,-38.7314453125
48,ocarinas and vibraphones,-42.95703125,-44.20703125
49,cymbals and ocarinas,-38.2802734375,-39.1005859375
50,clarinets and ocarinas,-42.5546875,-40.43359375
51,cellos and ocarinas,-43.15625,-39.291015625
52,didgeridoos and vibraphones,-62.845703125,-57.46484375
53,lutes and marimbas,-33.84375,-37.3408203125
54,kalimbas and lutes,-41.322265625,-39.297119140625
55,clarinets and kalimbas,-42.471435546875,-40.53662109375
56,kalimbas and trumpets,-39.694580078125,-40.304443359375
57,cellos and kalimbas,-47.0693359375,-40.9765625
58,kalimbas and saxophones,-40.11871337890625,-38.9132080078125
59,lutes and saxophones,-30.999542236328125,-28.0777587890625
60,casserole and eagle,-36.236328125,-36.3037109375
61,kite and linguist,-31.1728515625,-31.71484375
62,algorithm and perfume,-28.939453125,-30.25390625
63,forest and screwdriver,-35.1015625,-38.51171875
64,slipper and volcano,-30.07666015625,-31.9150390625
65,harmonica and microscope,-33.89453125,-33.236328125
66,cookbook and zenith,-29.7763671875,-37.05078125
67,hammock and hydrogen,-34.525390625,-34.23046875
68,neuron and toaster,-33.6015625,-33.75
69,marshmallow and telescope,-36.23828125,-31.670166015625
70,casserole and optics,-37.197265625,-33.524169921875
71,encyclopedia and comet,-30.388671875,-29.6328125
72,nimbus and waffle,-36.256591796875,-37.305419921875
73,photon and pumpkin,-30.58203125,-32.890625
74,lantern and syntax,-32.69921875,-30.015625
75,echo and vineyard,-34.7646484375,-29.91552734375
76,nebula and snowman,-29.885498046875,-31.0009765625
77,botany and teapot,-34.9609375,-35.3017578125
78,chisel and kaleidoscope,-30.455078125,-34.259765625
79,lava and teacup,-34.34375,-31.734375
80,entropy and orchard,-34.470703125,-32.9140625
81,axolotl and vineyard,-41.19921875,-38.3193359375
82,clockwork and meadow,-33.015625,-34.3359375
83,algebra and telescope,-30.671875,-27.966796875
84,arcade and topaz,-31.1748046875,-31.7236328125
85,asteroid and compass,-28.69921875,-29.9296875
86,bicycle and nebula,-32.04638671875,-29.989013671875
87,bungalow and entropy,-33.66943359375,-35.03759765625
88,carnation and gnome,-33.896484375,-34.6953125
89,cinnamon and harmonica,-30.7392578125,-33.77734375
90,coral and syntax,-31.326171875,-30.171875
91,dandelion and pendulum,-36.2435302734375,-35.38458251953125
92,delirium and telescope,-32.56396484375,-31.1138916015625
93,anchors and sandstorms,-34.095703125,-33.4326171875
94,scissors and volcanoes,-31.7421875,-30.3017578125
95,equations and lanterns,-32.111328125,-36.296875
96,satellites and tulips,-32.4609375,-32.294921875
97,compasses and hedgehogs,-33.0450439453125,-30.59033203125
98,comets and neckties,-36.90625,-36.724609375
99,castles and headphones,-32.013671875,-30.6416015625
100,paperclips and pyramids,-35.98236083984375,-31.842529296875
101,constellations and kettles,-41.373046875,-34.6767578125
102,kaleidoscopes and whales,-39.130859375,-32.146484375
103,meadows and pianos,-34.82421875,-29.8203125
104,magnets and zebras,-32.048828125,-30.890625
105,parrots and submarines,-30.603515625,-28.3006591796875
106,crayons and jungles,-28.198486328125,-31.9697265625
107,harbor and teapot,-32.11572265625,-34.0869140625
108,notebook and quicksand,-31.38671875,-32.77734375
109,glacier and lantern,-27.755859375,-29.849853515625
110,microscope and puddle,-32.259765625,-33.3671875
111,compass and swan,-30.13671875,-30.29296875
112,bonsai and cathedral,-33.6953125,-33.16259765625
113,honeycomb and violin,-32.28515625,-29.1611328125
114,sailboat and stadium,-31.15234375,-32.5869140625
115,acorns and skyscrapers,-33.6226806640625,-33.914306640625
116,bell and trellis,-27.619140625,-33.767578125
117,inkwell and kite,-32.0859375,-33.91015625
118,foxglove and trombone,-33.775146484375,-39.806640625
119,carousel and quill,-29.2021484375,-26.94140625
120,lighthouse and onion,-28.60546875,-31.4453125
121,cactus and chessboard,-36.171630859375,-34.98583984375
122,gallery and raindrop,-34.9140625,-35.080078125
123,cricket and plow,-35.40625,-29.765625
124,gingerbread and fresco,-36.32763671875,-29.27587890625
125,cello and sunflower,-34.916015625,-31.259765625
126,archway and quilt,-30.32421875,-29.373046875
127,compass and haystack,-32.212890625,-29.875
128,beacon and millipede,-32.8505859375,-35.525390625
129,parchment and windmill,-32.3203125,-31.1171875
130,candlestick and meadow,-29.9052734375,-34.41650390625
