,binom,Alpha Probs,Nonalpha Probs
0,kiwis and wolverines,-29.13006591796875,-29.94012451171875
1,kiwis and narwhals,-29.8067626953125,-30.702796936035156
2,kiwis and ocelots,-31.26702880859375,-30.448928833007812
3,ibex and kiwis,-32.2939453125,-32.701171875
4,harpies and kiwis,-32.455963134765625,-32.9013671875
5,axolotls and wolverines,-36.1162109375,-30.651809692382812
6,axolotls and ibex,-34.73052978515625,-34.739501953125
7,axolotls and harpies,-41.07330322265625,-33.18426513671875
8,axolotls and keas,-36.44439697265625,-34.69190979003906
9,axolotls and bonobos,-36.259979248046875,-30.54996109008789
10,axolotls and wombats,-33.52508544921875,-29.67450714111328
11,axolotls and lions,-32.85845947265625,-28.10491180419922
12,ocelots and platypuses,-33.069580078125,-34.384429931640625
13,ibex and platypuses,-38.359130859375,-35.5869140625
14,harpies and platypuses,-33.84375,-37.4580078125
15,keas and platypuses,-37.4913330078125,-34.4111328125
16,bonobos and platypuses,-31.07940673828125,-33.32756805419922
17,harpies and wolverines,-33.982086181640625,-33.5556640625
18,keas and wolverines,-36.4345703125,-32.9130859375
19,bonobos and wolverines,-28.29302978515625,-29.785147666931152
20,capybaras and ibex,-29.26025390625,-35.91748046875
21,capybaras and harpies,-32.787109375,-32.647064208984375
22,capybaras and keas,-31.4736328125,-35.376487731933594
23,ibex and narwhals,-35.966796875,-30.83544921875
24,harpies and narwhals,-32.4007568359375,-34.1123046875
25,keas and narwhals,-36.5859375,-33.693359375
26,ibex and ocelots,-36.248046875,-29.5833740234375
27,keas and ocelots,-37.732421875,-33.166015625
28,bonobos and ocelots,-29.499496459960938,-32.28350830078125
29,harpies and ibex,-32.79736328125,-36.234375
30,ibex and keas,-35.5625,-33.6748046875
31,bonobos and ibex,-28.853515625,-34.7763671875
32,ibex and koalas,-33.5894775390625,-31.2705078125
33,ibex and sloths,-35.5390625,-28.48583984375
34,aardvarks and ibex,-32.2828369140625,-37.5584716796875
35,harpies and keas,-35.693359375,-36.421875
36,bonobos and harpies,-35.8388671875,-37.14756774902344
37,harpies and koalas,-33.080081939697266,-32.65234375
38,harpies and wombats,-32.3182373046875,-32.3427734375
39,aardvarks and harpies,-32.949462890625,-34.599273681640625
40,bonobos and keas,-31.5673828125,-34.083740234375
41,keas and koalas,-33.06663131713867,-28.8330078125
42,keas and sloths,-34.736328125,-30.12109375
43,keas and wombats,-36.062965393066406,-27.927734375
44,keas and lions,-33.46484375,-29.533203125
45,aardvarks and keas,-35.139892578125,-38.008544921875
46,bonobos and wombats,-28.06842041015625,-25.67789077758789
47,aardvarks and bonobos,-32.02463912963867,-30.70501708984375
48,ocarinas and vibraphones,-31.990234375,-34.97802734375
49,cymbals and ocarinas,-31.5068359375,-28.016265869140625
50,clarinets and ocarinas,-29.243896484375,-30.022262573242188
51,cellos and ocarinas,-29.0880126953125,-29.092529296875
