WordA,WordB,Sentence,reading_times_alpha,reading_times_nonalpha
men,women,The guard instructed the X and Y to form an orderly line.,-19.451707899570465,-21.959637135267258
black,white,Dalmatians found in colors other than X and Y are highly unusual.,-14.630342334508896,-17.278602957725525
day,night,It is harder to tell the difference between X and Y if you can't see.,-18.178671142086387,-19.302790384739637
boys,girls,The teacher separated the X and Y into two groups.,-8.840511173009872,-13.710198819637299
left,right,You should look X and Y before crossing the street.,-20.354104347527027,-23.669269382953644
female,male,The dog breeder has X and Y puppies coming up for sale soon.,-24.987151108682156,-23.325734267011285
father,mother,"Because Stephanie was grounded, her X and Y would not permit her to go out with her friends.",-19.654404401779175,-18.75061821937561
goods,services,The village people would not trade X and Y for money because they don't use currency.,-18.807074546813965,-23.46623682975769
north,south,The family moved X and Y a couple of times before deciding on their current home.,-23.803409099578857,-24.126434564590454
development,research,"The scientist had a lot of X and Y to do, because he had been sick for a long time.",-24.02848292887211,-19.522974342107773
place,time,Finding a X and Y for the meeting was very difficult due to the boss's busy schedule.,-18.376412868499756,-17.79047191143036
death,life,It is hard to tell the difference between X and Y when you are in purgatory.,-17.20624029636383,-13.075071580708027
brothers,sisters,When we were younger my X and Y wanted a Beagle puppy.,-26.00481343269348,-29.818259358406067
husband,wife,Because the X and Y didn't love each other anymore they pondered going their separate ways.,-24.122056455817074,-27.786074675968848
gas,oil,"Sam had just bought a new car and didn't know the difference between X and Y, so she ruined her car.",-26.395977914333344,-27.16889214515686
pepper,salt,The food is in need of X and Y because it's rather bland.,-30.176417589187622,-24.680928349494934
fall,rise,I've gotten particularly ill due to the X and Y of the waves out at sea.,-26.19188493490219,-22.334537535905838
arms,legs,Sandra broke her X and Y because she got into a bike accident.,-18.16032314300537,-19.26428633928299
fruits,vegetables,"Growing up, Paul ate his X and Y everyday in order to be healthy.",-19.5554683431983,-22.323726177215576
arts,sciences,"Carol couldn't decide between X and Y when applying for college majors, so she chose an interdisciplinary route.",-24.60569566488266,-29.279322862625122
gentlemen,ladies,The hostess in the venue lead the X and Y to their respective tables at the wedding banquet.,-19.228927850723267,-17.55934178829193
feelings,thoughts,"Whenever Pat was frustrated, her X and Y got muddled and she couldn't make any decisions.",-25.0604045689106,-24.05970871448517
diagnosis,treatment,Marissa found that her X and Y at the hospital were completely different from what she anticipated.,-20.09463620185852,-22.676754117012024
groups,individuals,Differentiating between X and Y became increasingly difficult as the crowd grew larger.,-22.67694926261902,-20.75133854150772
knowledge,skills,"Although Cassie's X and Y were both strong, her exams were still difficult.",-28.710928440093994,-29.710166454315186
heart,mind,It took a long time for Sarah's X and Y to recover after her husband died.,-14.856993734836578,-17.249509371817112
influence,power,The employee used her X and Y in the company in order to get a raise.,-20.48052304983139,-16.13958704471588
Africa,Asia,My colleague wanted to visit X and Y this year for a vacation with her husband.,-23.88044399023056,-23.702579736709595
addresses,names,The company collected hundreds of X and Y for a petition they wanted to pass in June.,-29.581844568252563,-21.56621551513672
poetry,prose,The professor taught both X and Y in his Renaissance literature class.,-26.76119740307331,-25.301054671406746
forefinger,thumb,The ability to use the X and Y are very important evolutionary traits that differentiate humans from apes.,-22.34961974620819,-26.36365472152829
minerals,vitamins,The human body needs both X and Y in order to continue functioning properly.,-11.41444868966937,-8.97265613079071
fall,winter,In the months during X and Y students tend to feel a bit sadder due to the cold and gloomy weather.,-24.323897687718272,-29.18670916929841
light,shadow,It is important to consider both X and Y when creating a still life painting.,-20.887177407741547,-22.097983837127686
honey,milk,Jack's mother gave him X and Y in order to calm him after a nightmare.,-20.419032961130142,-21.72504422068596
nose,throat,Springtime allergies make my X and Y a lot more irritated than the rest of the year.,-18.58817207813263,-18.800427794456482
anger,fear,The abused dog showed both X and Y when animal control came to pick him up.,-19.62962267547846,-18.427685879170895
head,tail,There were white spots on the X and Y of the tiny dog.,-21.431016623973846,-23.266298860311508
novels,stories,The famous author had published many X and Y over the past twenty years.,-13.085905194282532,-14.996518343687057
sunrise,sunset,Andrew loved to be outside at X and Y during the summer months.,-17.109175622463226,-23.549472510814667
sympathy,understanding,Being a therapist requires a lot of X and Y because you often have to deal with people in rough patches.,-23.195815443992615,-26.373806476593018
shoes,socks,"When it rains, your X and Y become more of a nuisance than something to protect your feet.",-23.11618208885193,-21.841875553131104
equipment,personnel,The company had an appropriate amount of X and Y in order to make sure everyone at the event would be safe.,-18.575907975435257,-18.540671534836292
eyes,face,The instructions in the lab ask you cover your X and Y when you operate any machinery.,-19.277934432029724,-19.167166590690613
ink,paper,All you need is X and Y in order to write the next great novel.,-20.372153179720044,-20.86472598090768
muscles,nerves,Allison felt like her X and Y were on fire after running a marathon.,-17.44164600968361,-17.570815235376358
charts,maps,Dr. Morganstern took out his X and Y in order to document where he found the last fossil.,-23.718318508937955,-20.88310400955379
elbows,knees,I hurt my X and Y when I fell off my longboard.,-18.723574370145798,-18.36116750538349
Christmas,Easter,The child decided that X and Y were her favorite holidays.,-20.58687663078308,-21.925550043582916
nature,size,Sometimes it is hard to figure out the X and Y of a problem just from reading about it in the news.,-17.470076322555542,-17.448633293621242
gums,teeth,You should take care of your X and Y in order to have optimal dental hygiene.,-17.421074464917183,-11.268585993842862
