,binom,Alpha Probs,Nonalpha Probs
0,kiwis and wolverines,-54.6640625,-56.12890625
1,kiwis and narwhals,-50.958984375,-53.1953125
2,kiwis and ocelots,-52.08203125,-53.296875
3,ibex and kiwis,-46.2734375,-46.5859375
4,harpies and kiwis,-44.75390625,-48.11328125
5,axolotls and wolverines,-59.658203125,-62.90625
6,axolotls and ibex,-53.908203125,-52.16796875
7,axolotls and harpies,-54.3046875,-55.07421875
8,axolotls and keas,-53.423828125,-56.904296875
9,axolotls and bonobos,-58.783203125,-60.103515625
10,axolotls and wombats,-57.587890625,-59.642578125
11,axolotls and lions,-48.443359375,-49.21875
12,ocelots and platypuses,-57.203125,-58.17578125
13,ibex and platypuses,-47.94921875,-52.0546875
14,harpies and platypuses,-49.16796875,-53.111328125
15,keas and platypuses,-48.67578125,-53.0859375
16,bonobos and platypuses,-54.2578125,-60.25390625
17,harpies and wolverines,-49.9140625,-51.953125
18,keas and wolverines,-48.984375,-52.828125
19,bonobos and wolverines,-55.41796875,-56.845703125
20,capybaras and ibex,-57.140625,-52.69921875
21,capybaras and harpies,-59.330078125,-55.390625
22,capybaras and keas,-55.27734375,-52.3828125
23,ibex and narwhals,-50.48046875,-48.8203125
24,harpies and narwhals,-48.595703125,-46.830078125
25,keas and narwhals,-50.6953125,-47.71875
26,ibex and ocelots,-47.453125,-51.05078125
27,keas and ocelots,-48.40625,-50.015625
28,bonobos and ocelots,-52.36328125,-54.970703125
29,harpies and ibex,-44.6171875,-43.921875
30,ibex and keas,-38.84765625,-42.46875
31,bonobos and ibex,-48.81640625,-50.234375
32,ibex and koalas,-44.10546875,-47.5625
33,ibex and sloths,-40.90625,-43.6328125
34,aardvarks and ibex,-56.85546875,-55.5703125
35,harpies and keas,-43.640625,-41.958984375
36,bonobos and harpies,-50.2421875,-49.68359375
37,harpies and koalas,-44.1533203125,-51.72265625
38,harpies and wombats,-50.92578125,-48.234375
39,aardvarks and harpies,-52.3349609375,-60.265625
40,bonobos and keas,-48.046875,-50.0234375
41,keas and koalas,-44.32421875,-44.6640625
42,keas and sloths,-40.86328125,-41.22265625
43,keas and wombats,-47.4921875,-49.234375
44,keas and lions,-35.9296875,-38.109375
45,aardvarks and keas,-53.89453125,-59.8125
46,bonobos and wombats,-54.31640625,-54.78125
47,aardvarks and bonobos,-60.5390625,-63.43359375
48,ocarinas and vibraphones,-56.17578125,-60.98046875
49,cymbals and ocarinas,-51.080078125,-47.24609375
50,clarinets and ocarinas,-53.9453125,-51.267578125
51,cellos and ocarinas,-47.39453125,-42.37890625
52,didgeridoos and vibraphones,-72.234375,-77.00390625
53,lutes and marimbas,-43.283203125,-50.87109375
54,kalimbas and lutes,-53.86328125,-47.994140625
55,clarinets and kalimbas,-58.9609375,-55.671875
56,kalimbas and trumpets,-52.890625,-53.6328125
57,cellos and kalimbas,-50.71484375,-48.69921875
58,kalimbas and saxophones,-54.533203125,-60.25390625
59,lutes and saxophones,-38.7763671875,-49.2890625
60,casserole and eagle,-38.4296875,-37.05859375
61,kite and linguist,-34.7421875,-37.544921875
62,algorithm and perfume,-30.7578125,-32.87890625
63,forest and screwdriver,-33.9375,-37.17578125
64,slipper and volcano,-35.478515625,-37.18359375
65,harmonica and microscope,-41.73828125,-36.5
66,cookbook and zenith,-44.55078125,-44.01953125
67,hammock and hydrogen,-40.484375,-39.76171875
68,neuron and toaster,-35.50390625,-35.046875
69,marshmallow and telescope,-42.0703125,-38.38671875
70,casserole and optics,-40.359375,-40.203125
71,encyclopedia and comet,-31.966796875,-31.958984375
72,nimbus and waffle,-48.09375,-43.546875
73,photon and pumpkin,-34.93359375,-31.72265625
74,lantern and syntax,-32.85546875,-29.4140625
75,echo and vineyard,-29.2265625,-33.392578125
76,nebula and snowman,-39.451171875,-41.41015625
77,botany and teapot,-49.85546875,-44.92578125
78,chisel and kaleidoscope,-43.109375,-52.0
79,lava and teacup,-36.140625,-37.51171875
80,entropy and orchard,-34.5625,-35.296875
81,axolotl and vineyard,-48.58203125,-49.65234375
82,clockwork and meadow,-37.18359375,-37.04296875
83,algebra and telescope,-30.0078125,-30.3984375
84,arcade and topaz,-32.84375,-38.27734375
85,asteroid and compass,-29.95703125,-31.1328125
86,bicycle and nebula,-33.298828125,-38.95703125
87,bungalow and entropy,-37.703125,-34.90625
88,carnation and gnome,-36.9453125,-35.96875
89,cinnamon and harmonica,-37.8984375,-40.99609375
90,coral and syntax,-32.91015625,-29.796875
