,binom,Alpha Probs,Nonalpha Probs
0,kiwis and wolverines,-32.46844482421875,-28.0128173828125
1,kiwis and narwhals,-30.910888671875,-31.340087890625
2,kiwis and ocelots,-34.5897216796875,-34.57373046875
3,ibex and kiwis,-37.458984375,-32.724609375
4,harpies and kiwis,-33.850830078125,-35.685546875
5,axolotls and wolverines,-33.87713623046875,-27.557281494140625
6,axolotls and ibex,-31.6396484375,-36.66748046875
7,axolotls and harpies,-35.7900390625,-34.7833251953125
8,axolotls and keas,-35.1611328125,-37.28546142578125
9,axolotls and bonobos,-32.949951171875,-29.297866821289062
10,axolotls and wombats,-31.959228515625,-30.75933837890625
11,axolotls and lions,-30.9111328125,-27.87042236328125
12,ocelots and platypuses,-34.57275390625,-33.79728698730469
13,ibex and platypuses,-40.8115234375,-37.3203125
14,harpies and platypuses,-33.3353271484375,-36.2470703125
15,keas and platypuses,-38.38671875,-37.27734375
16,bonobos and platypuses,-27.36962890625,-32.632080078125
17,harpies and wolverines,-35.626495361328125,-30.86376953125
18,keas and wolverines,-37.545166015625,-33.6142578125
19,bonobos and wolverines,-29.88885498046875,-29.872314453125
20,capybaras and ibex,-42.521484375,-44.51171875
21,capybaras and harpies,-43.056640625,-37.7431640625
22,capybaras and keas,-41.919921875,-40.781982421875
23,ibex and narwhals,-37.72265625,-32.7109375
24,harpies and narwhals,-32.646514892578125,-32.8681640625
25,keas and narwhals,-38.26025390625,-37.927734375
26,ibex and ocelots,-37.890625,-36.974609375
27,keas and ocelots,-38.620849609375,-39.42578125
28,bonobos and ocelots,-27.60894012451172,-34.3646240234375
29,harpies and ibex,-35.8828125,-41.095703125
30,ibex and keas,-38.73828125,-36.95703125
31,bonobos and ibex,-28.8408203125,-35.88134765625
32,ibex and koalas,-35.5721435546875,-30.62353515625
33,ibex and sloths,-37.2734375,-30.0869140625
34,aardvarks and ibex,-41.10546875,-41.859375
35,harpies and keas,-39.49609375,-38.3515625
36,bonobos and harpies,-32.85546875,-34.30157470703125
37,harpies and koalas,-33.525146484375,-31.37841796875
38,harpies and wombats,-33.37255859375,-31.728515625
39,aardvarks and harpies,-37.873046875,-35.37104797363281
40,bonobos and keas,-34.013671875,-35.7239990234375
41,keas and koalas,-34.5413818359375,-31.11962890625
42,keas and sloths,-36.21484375,-35.537109375
43,keas and wombats,-36.7255859375,-34.658203125
44,keas and lions,-34.1171875,-33.68359375
45,aardvarks and keas,-41.6328125,-38.43798828125
46,bonobos and wombats,-27.98699951171875,-28.73895263671875
47,aardvarks and bonobos,-36.9010009765625,-30.7763671875
48,ocarinas and vibraphones,-29.6337890625,-38.061279296875
49,cymbals and ocarinas,-30.749267578125,-28.644058227539062
50,clarinets and ocarinas,-32.9744873046875,-29.532573699951172
51,cellos and ocarinas,-33.2015380859375,-28.980224609375
52,didgeridoos and vibraphones,-41.09619140625,-39.4927978515625
53,lutes and marimbas,-35.510101318359375,-27.604248046875
54,kalimbas and lutes,-38.1552734375,-38.711669921875
55,clarinets and kalimbas,-39.8526611328125,-38.5325927734375
56,kalimbas and trumpets,-37.24658203125,-34.541351318359375
57,cellos and kalimbas,-38.3717041015625,-37.69921875
58,kalimbas and saxophones,-38.11724853515625,-34.44720458984375
59,lutes and saxophones,-30.39434814453125,-28.77734375
60,casserole and eagle,-32.5478515625,-31.0902099609375
61,kite and linguist,-32.08203125,-31.8515625
62,algorithm and perfume,-29.4765625,-31.015625
63,forest and screwdriver,-31.6484375,-29.85546875
