,binom,Alpha Probs,Nonalpha Probs
0,kiwis and wolverines,-38.5654296875,-35.5390625
1,kiwis and narwhals,-35.05810546875,-33.1005859375
2,kiwis and ocelots,-41.013671875,-39.892578125
3,ibex and kiwis,-37.5419921875,-37.390625
4,harpies and kiwis,-31.881103515625,-36.224609375
5,axolotls and wolverines,-40.82763671875,-37.46875
6,axolotls and ibex,-39.68359375,-39.0576171875
7,axolotls and harpies,-40.6083984375,-37.2408447265625
8,axolotls and keas,-43.87890625,-43.11962890625
9,axolotls and bonobos,-42.63671875,-40.0927734375
10,axolotls and wombats,-44.337890625,-43.6650390625
11,axolotls and lions,-39.3046875,-33.1474609375
12,ocelots and platypuses,-41.583984375,-42.62841796875
13,ibex and platypuses,-44.6640625,-42.0078125
14,harpies and platypuses,-37.734375,-39.0439453125
15,keas and platypuses,-45.8828125,-45.765625
16,bonobos and platypuses,-43.580078125,-40.3095703125
17,harpies and wolverines,-31.1287841796875,-32.4130859375
18,keas and wolverines,-39.54736328125,-38.9765625
19,bonobos and wolverines,-36.6177978515625,-35.7021484375
20,capybaras and ibex,-47.791015625,-46.57421875
21,capybaras and harpies,-48.697265625,-40.8203125
22,capybaras and keas,-50.24609375,-45.6875
23,ibex and narwhals,-36.462890625,-33.70703125
24,harpies and narwhals,-31.23028564453125,-30.396484375
25,keas and narwhals,-36.123046875,-37.548828125
26,ibex and ocelots,-38.83984375,-40.615234375
27,keas and ocelots,-39.498046875,-43.279296875
28,bonobos and ocelots,-37.5107421875,-40.521484375
29,harpies and ibex,-32.845703125,-37.662109375
30,ibex and keas,-37.265625,-36.22265625
31,bonobos and ibex,-35.529296875,-36.3134765625
32,ibex and koalas,-42.095703125,-34.09375
33,ibex and sloths,-37.94921875,-37.119140625
34,aardvarks and ibex,-43.3203125,-42.861328125
35,harpies and keas,-35.740234375,-36.66748046875
36,bonobos and harpies,-35.6689453125,-32.92138671875
37,harpies and koalas,-32.01171875,-36.4248046875
38,harpies and wombats,-35.759765625,-37.75
39,aardvarks and harpies,-39.720703125,-37.00848388671875
40,bonobos and keas,-37.654296875,-39.369873046875
41,keas and koalas,-38.21484375,-38.025390625
42,keas and sloths,-38.57421875,-39.625
43,keas and wombats,-42.224609375,-42.693359375
44,keas and lions,-34.7421875,-33.59375
45,aardvarks and keas,-44.71484375,-45.92578125
46,bonobos and wombats,-39.759765625,-39.5537109375
47,aardvarks and bonobos,-43.71875,-41.6318359375
48,ocarinas and vibraphones,-44.306640625,-48.318359375
49,cymbals and ocarinas,-37.15234375,-39.8330078125
50,clarinets and ocarinas,-45.48828125,-42.1298828125
51,cellos and ocarinas,-40.802734375,-38.68359375
