,binom,Alpha Probs,Nonalpha Probs
0,kiwis and wolverines,-29.068817138671875,-29.79473876953125
1,kiwis and narwhals,-28.71148681640625,-29.36327362060547
2,kiwis and ocelots,-29.67431640625,-29.437286376953125
3,ibex and kiwis,-32.70098876953125,-30.9921875
4,harpies and kiwis,-32.02873229980469,-32.509765625
5,axolotls and wolverines,-29.444244384765625,-33.29296875
6,axolotls and ibex,-31.486968994140625,-32.60426712036133
7,axolotls and harpies,-33.852203369140625,-32.73109436035156
8,axolotls and keas,-32.311187744140625,-32.625953674316406
9,axolotls and bonobos,-30.771215438842773,-28.923431396484375
10,axolotls and wombats,-29.03289031982422,-31.2979736328125
11,axolotls and lions,-27.580718994140625,-27.840545654296875
12,ocelots and platypuses,-31.07666015625,-31.982818603515625
13,ibex and platypuses,-34.84808349609375,-35.51171875
14,harpies and platypuses,-33.556396484375,-35.5546875
15,keas and platypuses,-35.5244140625,-34.271484375
16,bonobos and platypuses,-27.897720336914062,-32.90366172790527
17,harpies and wolverines,-31.14715576171875,-34.1220703125
18,keas and wolverines,-33.805419921875,-35.525390625
19,bonobos and wolverines,-27.756851196289062,-30.75834369659424
20,capybaras and ibex,-32.81201171875,-32.254425048828125
21,capybaras and harpies,-33.65771484375,-32.64593029022217
22,capybaras and keas,-32.86279296875,-36.3706374168396
23,ibex and narwhals,-31.154052734375,-29.7626953125
24,harpies and narwhals,-31.470458984375,-30.400634765625
25,keas and narwhals,-33.740966796875,-33.7333984375
26,ibex and ocelots,-31.3193359375,-30.11279296875
27,keas and ocelots,-34.31201171875,-32.798828125
28,bonobos and ocelots,-27.641525268554688,-31.193408966064453
29,harpies and ibex,-33.1474609375,-35.291015625
30,ibex and keas,-35.25,-33.384765625
31,bonobos and ibex,-26.852554321289062,-34.20403289794922
32,ibex and koalas,-31.425537109375,-31.57958984375
33,ibex and sloths,-32.009765625,-29.81396484375
34,aardvarks and ibex,-30.358261108398438,-32.73129653930664
35,harpies and keas,-35.177734375,-33.5498046875
36,bonobos and harpies,-31.662124633789062,-35.83938789367676
37,harpies and koalas,-31.686599731445312,-31.92529296875
38,harpies and wombats,-32.5458984375,-35.609375
39,aardvarks and harpies,-29.496444702148438,-34.075419425964355
40,bonobos and keas,-31.402359008789062,-34.120460510253906
41,keas and koalas,-31.104278564453125,-28.67529296875
42,keas and sloths,-33.44140625,-32.6796875
43,keas and wombats,-34.66375732421875,-30.265625
44,keas and lions,-31.48046875,-29.748046875
45,aardvarks and keas,-33.28794860839844,-34.13620376586914
46,bonobos and wombats,-28.017837524414062,-30.22046184539795
47,aardvarks and bonobos,-29.24749755859375,-27.95968008041382
48,ocarinas and vibraphones,-27.149169921875,-29.77142333984375
49,cymbals and ocarinas,-30.30474853515625,-25.96405029296875
50,clarinets and ocarinas,-26.424468994140625,-24.800546646118164
