,binom,Alpha Probs,Nonalpha Probs
0,kiwis and wolverines,-50.78125,-54.716796875
1,kiwis and narwhals,-49.96484375,-54.337890625
2,kiwis and ocelots,-54.26953125,-52.96484375
3,ibex and kiwis,-48.00390625,-47.15234375
4,harpies and kiwis,-43.4765625,-48.39453125
5,axolotls and wolverines,-55.3974609375,-59.44921875
6,axolotls and ibex,-54.7421875,-53.455078125
7,axolotls and harpies,-57.09765625,-51.69921875
8,axolotls and keas,-56.06640625,-54.828125
9,axolotls and bonobos,-61.0625,-61.533203125
10,axolotls and wombats,-57.91796875,-55.388671875
11,axolotls and lions,-51.28125,-48.357421875
12,ocelots and platypuses,-58.359375,-57.359375
13,ibex and platypuses,-49.79296875,-50.6796875
14,harpies and platypuses,-43.693359375,-53.390625
15,keas and platypuses,-48.81640625,-52.3125
16,bonobos and platypuses,-55.94140625,-58.421875
17,harpies and wolverines,-43.728515625,-51.48046875
18,keas and wolverines,-48.23046875,-50.9765625
19,bonobos and wolverines,-52.640625,-55.6640625
20,capybaras and ibex,-52.7890625,-54.6875
21,capybaras and harpies,-55.33984375,-50.830078125
22,capybaras and keas,-52.3125,-53.0
23,ibex and narwhals,-49.09375,-50.119140625
24,harpies and narwhals,-45.326171875,-46.5263671875
25,keas and narwhals,-48.44140625,-48.619140625
26,ibex and ocelots,-50.83203125,-55.76953125
27,keas and ocelots,-49.91015625,-53.09375
28,bonobos and ocelots,-54.43359375,-58.28515625
29,harpies and ibex,-42.478515625,-46.72265625
30,ibex and keas,-42.17578125,-42.37890625
31,bonobos and ibex,-49.48046875,-50.484375
32,ibex and koalas,-46.08984375,-49.38671875
33,ibex and sloths,-43.609375,-45.3203125
34,aardvarks and ibex,-60.0703125,-53.61328125
35,harpies and keas,-42.607421875,-45.4453125
36,bonobos and harpies,-54.0625,-43.6484375
37,harpies and koalas,-43.72265625,-53.3203125
38,harpies and wombats,-48.806640625,-48.25
39,aardvarks and harpies,-57.8828125,-52.837890625
40,bonobos and keas,-49.9921875,-47.58984375
41,keas and koalas,-47.0234375,-45.96484375
42,keas and sloths,-41.99609375,-43.3046875
43,keas and wombats,-48.91015625,-48.02734375
44,keas and lions,-37.94921875,-39.0390625
45,aardvarks and keas,-58.33203125,-57.9140625
46,bonobos and wombats,-54.890625,-52.45703125
47,aardvarks and bonobos,-62.908203125,-60.86328125
48,ocarinas and vibraphones,-55.90625,-61.3046875
49,cymbals and ocarinas,-51.2578125,-48.8984375
50,clarinets and ocarinas,-54.078125,-49.8701171875
51,cellos and ocarinas,-47.72265625,-44.630859375
52,didgeridoos and vibraphones,-71.63671875,-75.6484375
53,lutes and marimbas,-43.873046875,-50.05078125
54,kalimbas and lutes,-52.50390625,-46.4921875
55,clarinets and kalimbas,-55.95703125,-54.271484375
56,kalimbas and trumpets,-50.33203125,-49.697265625
57,cellos and kalimbas,-52.40625,-48.51953125
58,kalimbas and saxophones,-53.7265625,-54.744140625
59,lutes and saxophones,-40.52294921875,-44.630859375
60,casserole and eagle,-40.603515625,-38.955078125
61,kite and linguist,-35.8486328125,-36.595703125
62,algorithm and perfume,-31.94140625,-34.33984375
63,forest and screwdriver,-37.27734375,-39.0703125
64,slipper and volcano,-36.625,-35.4765625
65,harmonica and microscope,-43.08203125,-39.8359375
66,cookbook and zenith,-46.91796875,-46.4921875
67,hammock and hydrogen,-39.19921875,-41.138671875
68,neuron and toaster,-34.93359375,-37.28515625
