,binom,Alpha Probs,Nonalpha Probs
0,kiwis and wolverines,-30.909683227539062,-29.29279327392578
1,kiwis and narwhals,-30.17236328125,-30.47810173034668
2,kiwis and ocelots,-32.379150390625,-30.32997703552246
3,ibex and kiwis,-31.73193359375,-30.41796875
4,harpies and kiwis,-30.020645141601562,-29.896484375
5,axolotls and wolverines,-34.1199951171875,-29.543243408203125
6,axolotls and ibex,-35.91900634765625,-33.85589599609375
7,axolotls and harpies,-37.72760009765625,-31.1209716796875
8,axolotls and keas,-40.13385009765625,-36.502166748046875
9,axolotls and bonobos,-33.943756103515625,-29.17371368408203
10,axolotls and wombats,-33.28985595703125,-36.743255615234375
11,axolotls and lions,-31.95025634765625,-28.074935913085938
12,ocelots and platypuses,-31.53857421875,-33.73516845703125
13,ibex and platypuses,-36.986083984375,-34.1123046875
14,harpies and platypuses,-30.459228515625,-35.0244140625
15,keas and platypuses,-37.2900390625,-34.7275390625
16,bonobos and platypuses,-27.854736328125,-32.293182373046875
17,harpies and wolverines,-30.774383544921875,-32.1875
18,keas and wolverines,-37.468017578125,-34.9443359375
19,bonobos and wolverines,-28.00579833984375,-31.376934051513672
20,capybaras and ibex,-32.43505859375,-37.000732421875
21,capybaras and harpies,-36.18603515625,-32.23313522338867
22,capybaras and keas,-37.44775390625,-38.75788879394531
23,ibex and narwhals,-36.1484375,-30.833984375
24,harpies and narwhals,-30.05718994140625,-34.0986328125
25,keas and narwhals,-37.0277099609375,-37.6650390625
26,ibex and ocelots,-36.68359375,-32.10693359375
27,keas and ocelots,-38.064208984375,-36.544921875
28,bonobos and ocelots,-29.74749755859375,-31.730621337890625
29,harpies and ibex,-32.658203125,-35.048828125
30,ibex and keas,-36.64453125,-36.13671875
31,bonobos and ibex,-28.256591796875,-33.5960693359375
32,ibex and koalas,-35.04248046875,-33.7119140625
33,ibex and sloths,-34.76171875,-29.2255859375
34,aardvarks and ibex,-30.69744873046875,-34.52923583984375
35,harpies and keas,-36.265625,-34.4892578125
36,bonobos and harpies,-29.34521484375,-32.32379150390625
37,harpies and koalas,-30.52191162109375,-36.0390625
38,harpies and wombats,-30.328125,-34.791015625
39,aardvarks and harpies,-29.80780029296875,-33.75063705444336
40,bonobos and keas,-33.11181640625,-34.849212646484375
41,keas and koalas,-34.00677490234375,-35.3681640625
42,keas and sloths,-34.96875,-35.54296875
43,keas and wombats,-35.8753662109375,-38.6796875
44,keas and lions,-33.23046875,-33.279296875
45,aardvarks and keas,-34.51385498046875,-36.07087707519531
46,bonobos and wombats,-26.9505615234375,-35.2242431640625
47,aardvarks and bonobos,-29.786941528320312,-29.25493049621582
48,ocarinas and vibraphones,-31.0989990234375,-34.552490234375
49,cymbals and ocarinas,-30.7255859375,-29.439849853515625
50,clarinets and ocarinas,-29.1500244140625,-29.82550048828125
51,cellos and ocarinas,-28.716552734375,-29.767822265625
52,didgeridoos and vibraphones,-32.42657470703125,-36.88359069824219
53,lutes and marimbas,-34.74267578125,-31.3115234375
54,kalimbas and lutes,-32.9794921875,-37.439117431640625
55,clarinets and kalimbas,-33.13616943359375,-32.64599609375
56,kalimbas and trumpets,-33.0506591796875,-31.5462646484375
57,cellos and kalimbas,-33.009063720703125,-32.580322265625
58,kalimbas and saxophones,-32.7436637878418,-29.29206085205078
59,lutes and saxophones,-31.464691162109375,-26.332275390625
60,casserole and eagle,-34.291015625,-33.3399658203125
61,kite and linguist,-34.193359375,-32.0390625
62,algorithm and perfume,-29.080078125,-29.3828125
