binom,Alpha Probs,Nonalpha Probs,ProbAandB
men and women,-137.6423511505127,-136.9692416191101,0.33780091474911217
black and white,-156.05432748794556,-155.3601894378662,0.33311317648259825
day and night,-169.03253173828125,-172.8079013824463,0.9775853238034907
boys and girls,-129.14537572860718,-128.24044609069824,0.2880385096897249
left and right,-118.65995216369629,-115.56337642669678,0.04324872362489146
female and male,-161.06696271896362,-160.6330099105835,0.3931828335068282
father and mother,-128.65670812129974,-132.78687465190887,0.9841742800006873
goods and services,-179.08823347091675,-181.3954839706421,0.9094757447092949
north and south,-167.82015180587769,-167.04290628433228,0.3149138426379545
development and research,-115.72188751399517,-112.31048760563135,0.031941082758561896
place and time,-128.3132820725441,-128.52325880527496,0.55230215641202
death and life,-176.61197090148926,-176.52797889709473,0.47901433467325016
brothers and sisters,-149.29830312728882,-149.53225898742676,0.5582236327743254
husband and wife,-163.17803311347961,-165.46070778369904,0.9074319619980487
gas and oil,-71.28371595064527,-70.18714414475835,0.2503827856555441
pepper and salt,-148.55985856056213,-148.692729473114,0.5331689435686906
fall and rise,-152.45829916000366,-151.54728150367737,0.28679163843391253
arms and legs,-156.58248615264893,-156.73664474487305,0.5384635048554266
fruits and vegetables,-98.51865354925394,-108.1694992557168,0.9999356330384238
arts and sciences,-74.32041586863488,-77.35114069312112,0.9539430291331744
gentlemen and ladies,-137.15182679146528,-123.38762605190277,1.0526478647215531e-6
feelings and thoughts,-72.9751714306185,-70.9573954379157,0.11734915386964959
diagnosis and treatment,-170.8837377205491,-170.22235398739576,0.34042884362465387
groups and individuals,-174.04352259635925,-171.52312576770782,0.07444059937314233
knowledge and skills,-167.93727844953537,-165.829958319664,0.10838737655050347
heart and mind,-160.79227328300476,-161.73396372795105,0.719440992914535
influence and power,-159.33213186264038,-159.11730289459229,0.4464983648838534
Africa and Asia,-158.81811666488647,-157.75175404548645,0.25609542859458934
addresses and names,-161.3843958377838,-165.20521783828735,0.9785599629362395
poetry and prose,-138.00318002700806,-137.99361658096313,0.49760915671085276
forefinger and thumb,-68.5181829095236,-65.06001196373836,0.03052611633775711
minerals and vitamins,-195.9844708442688,-194.19599866867065,0.1432601413785741
fall and winter,-67.87221478577703,-71.51198893785477,0.9744135815064964
light and shadow,-153.3455924987793,-153.04161977767944,0.42458660689868777
honey and milk,-139.95682126283646,-127.34884379804134,3.3452109235256044e-6
nose and throat,-60.492457738146186,-65.00925066601485,0.9891940426838216
anger and fear,-165.52993822097778,-164.7120931148529,0.30622127541269106
head and tail,-134.2787652015686,-134.70110607147217,0.6040432635588793
novels and stories,-147.4050588607788,-147.4227967262268,0.5044343500969537
sunrise and sunset,-154.11913442611694,-157.6344963312149,0.9711217156481793
sympathy and understanding,-66.01695021637715,-66.7553414076101,0.6766439539275467
shoes and socks,-57.31122270380729,-60.089320680708624,0.9414807409120308
equipment and personnel,-76.22195847332478,-75.85918731987476,0.4102889137436158
eyes and face,-178.91797018051147,-178.6220142841339,0.4265463942993057
ink and paper,-139.67241525650024,-135.2481026649475,0.011840566365687154
muscles and nerves,-177.49555277824402,-182.1144758462906,0.9902329241311765
charts and maps,-90.73509240150452,-92.97154056280851,0.9034751538326107
elbows and knees,-151.7250418663025,-150.37266397476196,0.2054818875273459
Christmas and Easter,-140.6441798210144,-143.11105728149414,0.9217869392434032
nature and size,-56.18125673383474,-56.272101514041424,0.5226955887342436
