,binom,Alpha Probs,Nonalpha Probs
0,kiwis and wolverines,-38.91015625,-33.524658203125
1,kiwis and narwhals,-36.52734375,-32.2745361328125
2,kiwis and ocelots,-41.732421875,-41.36669921875
3,ibex and kiwis,-39.9921875,-37.865234375
4,harpies and kiwis,-32.220458984375,-38.45703125
5,axolotls and wolverines,-36.82470703125,-36.4052734375
6,axolotls and ibex,-37.375,-40.18994140625
7,axolotls and harpies,-38.9765625,-38.5732421875
8,axolotls and keas,-41.828125,-44.11767578125
9,axolotls and bonobos,-38.54345703125,-37.3974609375
10,axolotls and wombats,-38.3828125,-42.684326171875
11,axolotls and lions,-35.8203125,-33.09716796875
12,ocelots and platypuses,-45.6533203125,-42.779296875
13,ibex and platypuses,-43.201171875,-43.48046875
14,harpies and platypuses,-36.3876953125,-40.1953125
15,keas and platypuses,-48.259765625,-47.40234375
16,bonobos and platypuses,-39.4853515625,-39.7314453125
17,harpies and wolverines,-31.279296875,-31.50390625
18,keas and wolverines,-42.0751953125,-39.400390625
19,bonobos and wolverines,-34.872802734375,-33.22802734375
20,capybaras and ibex,-42.611328125,-46.392578125
21,capybaras and harpies,-46.400390625,-39.7900390625
22,capybaras and keas,-45.15234375,-45.48046875
23,ibex and narwhals,-38.587890625,-34.89453125
24,harpies and narwhals,-33.843902587890625,-31.32666015625
25,keas and narwhals,-39.224609375,-39.947265625
26,ibex and ocelots,-40.74609375,-42.033203125
27,keas and ocelots,-42.126953125,-45.79296875
28,bonobos and ocelots,-35.145751953125,-41.809814453125
29,harpies and ibex,-33.71875,-41.0390625
30,ibex and keas,-38.90234375,-38.029296875
31,bonobos and ibex,-35.0361328125,-39.9150390625
32,ibex and koalas,-38.9912109375,-33.81640625
33,ibex and sloths,-38.90625,-34.27734375
34,aardvarks and ibex,-45.67578125,-47.12890625
35,harpies and keas,-37.396484375,-39.568359375
36,bonobos and harpies,-35.63671875,-35.806884765625
37,harpies and koalas,-29.7890625,-36.94921875
38,harpies and wombats,-36.09228515625,-38.6767578125
39,aardvarks and harpies,-42.443359375,-42.0830078125
40,bonobos and keas,-38.9189453125,-41.2647705078125
41,keas and koalas,-35.7127685546875,-37.33984375
42,keas and sloths,-39.890625,-39.666015625
43,keas and wombats,-40.7158203125,-44.25
44,keas and lions,-36.3828125,-34.193359375
45,aardvarks and keas,-46.76171875,-49.103515625
46,bonobos and wombats,-36.271484375,-38.7333984375
47,aardvarks and bonobos,-45.17578125,-44.373046875
48,ocarinas and vibraphones,-46.5,-44.509765625
49,cymbals and ocarinas,-38.5703125,-40.3720703125
50,clarinets and ocarinas,-47.02734375,-41.59375
51,cellos and ocarinas,-44.4375,-41.8046875
52,didgeridoos and vibraphones,-57.91015625,-54.5927734375
53,lutes and marimbas,-37.81884765625,-40.6015625
54,kalimbas and lutes,-46.1875,-40.6298828125
55,clarinets and kalimbas,-47.306640625,-45.58984375
56,kalimbas and trumpets,-45.9287109375,-43.109375
57,cellos and kalimbas,-49.33203125,-45.701171875
58,kalimbas and saxophones,-44.7349853515625,-39.7548828125
59,lutes and saxophones,-33.98150634765625,-28.9443359375
60,casserole and eagle,-30.792236328125,-32.6636962890625
61,kite and linguist,-35.083984375,-30.48046875
62,algorithm and perfume,-31.109375,-31.859375
63,forest and screwdriver,-32.140625,-33.685546875
64,slipper and volcano,-32.1298828125,-33.01953125
65,harmonica and microscope,-33.7578125,-32.9365234375
66,cookbook and zenith,-31.388671875,-34.623046875
67,hammock and hydrogen,-33.40576171875,-35.9580078125
68,neuron and toaster,-31.23828125,-33.0
69,marshmallow and telescope,-34.9853515625,-31.546875
70,casserole and optics,-33.839111328125,-35.14019775390625
71,encyclopedia and comet,-32.3984375,-31.953125
72,nimbus and waffle,-37.44921875,-36.2978515625
73,photon and pumpkin,-29.16015625,-33.13671875
74,lantern and syntax,-33.9765625,-29.33203125
75,echo and vineyard,-34.076171875,-31.541015625
76,nebula and snowman,-33.671875,-32.8154296875
77,botany and teapot,-36.00927734375,-33.81787109375
78,chisel and kaleidoscope,-33.141357421875,-36.81982421875
79,lava and teacup,-32.97265625,-30.68359375
80,entropy and orchard,-34.91796875,-35.91796875
81,axolotl and vineyard,-35.841796875,-36.92138671875
82,clockwork and meadow,-33.888671875,-33.56640625
83,algebra and telescope,-32.22265625,-28.203125
84,arcade and topaz,-30.1376953125,-34.056640625
85,asteroid and compass,-27.79296875,-30.37890625
86,bicycle and nebula,-33.50390625,-33.9609375
87,bungalow and entropy,-36.3336181640625,-36.481201171875
88,carnation and gnome,-34.494140625,-37.703125
89,cinnamon and harmonica,-31.82421875,-32.2421875
90,coral and syntax,-32.90625,-30.66796875
91,dandelion and pendulum,-37.7490234375,-34.12969970703125
92,delirium and telescope,-30.767578125,-32.3084716796875
93,anchors and sandstorms,-32.6591796875,-34.65380859375
94,scissors and volcanoes,-34.046875,-35.24609375
95,equations and lanterns,-32.7568359375,-33.6171875
96,satellites and tulips,-31.89306640625,-33.205078125
97,compasses and hedgehogs,-31.829345703125,-32.296142578125
98,comets and neckties,-36.2109375,-34.970703125
99,castles and headphones,-35.283203125,-31.009765625
100,paperclips and pyramids,-33.669769287109375,-31.4951171875
101,constellations and kettles,-40.64208984375,-36.49884033203125
102,kaleidoscopes and whales,-40.599609375,-33.36529541015625
103,meadows and pianos,-32.5029296875,-29.5810546875
104,magnets and zebras,-31.390625,-29.78515625
105,parrots and submarines,-33.7373046875,-29.181640625
106,crayons and jungles,-29.637062072753906,-31.592193603515625
107,harbor and teapot,-31.99755859375,-32.19873046875
108,notebook and quicksand,-33.51171875,-33.638671875
109,glacier and lantern,-30.295654296875,-31.817123413085938
110,microscope and puddle,-31.0703125,-35.0078125
111,compass and swan,-30.0703125,-31.39453125
112,bonsai and cathedral,-37.0,-33.544921875
113,honeycomb and violin,-31.5390625,-29.48974609375
114,sailboat and stadium,-30.453125,-32.95703125
115,acorns and skyscrapers,-35.89337158203125,-32.8564453125
116,bell and trellis,-29.5859375,-29.44140625
117,inkwell and kite,-33.28515625,-33.45703125
118,foxglove and trombone,-35.3255615234375,-34.3101806640625
119,carousel and quill,-30.96875,-29.732421875
120,lighthouse and onion,-30.78515625,-34.255859375
121,cactus and chessboard,-34.7841796875,-34.03564453125
122,gallery and raindrop,-36.02392578125,-35.748046875
123,cricket and plow,-34.48046875,-32.35546875
124,gingerbread and fresco,-35.234375,-31.5146484375
125,cello and sunflower,-36.048828125,-32.923828125
126,archway and quilt,-32.33984375,-30.4404296875
127,compass and haystack,-31.58984375,-28.447265625
128,beacon and millipede,-35.2373046875,-36.275390625
129,parchment and windmill,-32.404296875,-31.25390625
130,candlestick and meadow,-28.75732421875,-31.6600341796875
