,binom,Alpha Probs,Nonalpha Probs
0,kiwis and wolverines,-39.5048828125,-37.240234375
1,kiwis and narwhals,-39.625,-36.0732421875
2,kiwis and ocelots,-40.486328125,-38.560791015625
3,ibex and kiwis,-36.560546875,-36.181640625
4,harpies and kiwis,-31.195068359375,-37.515625
5,axolotls and wolverines,-45.79296875,-38.842041015625
6,axolotls and ibex,-45.80859375,-38.8037109375
7,axolotls and harpies,-47.203125,-37.5535888671875
8,axolotls and keas,-48.23046875,-42.64111328125
9,axolotls and bonobos,-49.40625,-36.61669921875
10,axolotls and wombats,-47.3515625,-45.982421875
11,axolotls and lions,-43.75390625,-34.913330078125
12,ocelots and platypuses,-43.517578125,-43.3994140625
13,ibex and platypuses,-40.162109375,-40.94921875
14,harpies and platypuses,-35.5849609375,-40.01171875
15,keas and platypuses,-43.828125,-43.36328125
16,bonobos and platypuses,-38.34765625,-40.8193359375
17,harpies and wolverines,-32.6695556640625,-33.9990234375
18,keas and wolverines,-40.28125,-37.416015625
19,bonobos and wolverines,-34.6201171875,-37.984375
20,capybaras and ibex,-47.283203125,-46.033203125
21,capybaras and harpies,-49.5859375,-43.330078125
22,capybaras and keas,-49.1328125,-44.701171875
23,ibex and narwhals,-39.21875,-38.5703125
24,harpies and narwhals,-33.68310546875,-35.1865234375
25,keas and narwhals,-37.8046875,-41.896484375
26,ibex and ocelots,-37.05078125,-41.564453125
27,keas and ocelots,-38.13525390625,-42.232421875
28,bonobos and ocelots,-34.439453125,-40.56640625
29,harpies and ibex,-33.283203125,-38.65234375
30,ibex and keas,-34.94921875,-35.88671875
31,bonobos and ibex,-33.921875,-35.55859375
32,ibex and koalas,-38.06640625,-33.974609375
33,ibex and sloths,-36.15625,-37.61328125
34,aardvarks and ibex,-42.767578125,-42.00390625
35,harpies and keas,-34.58984375,-36.04736328125
36,bonobos and harpies,-35.22265625,-33.1572265625
37,harpies and koalas,-31.04736328125,-33.81640625
38,harpies and wombats,-41.62890625,-42.12109375
39,aardvarks and harpies,-40.9609375,-38.23388671875
40,bonobos and keas,-35.6328125,-36.39013671875
41,keas and koalas,-35.7158203125,-33.556640625
42,keas and sloths,-35.8359375,-40.609375
43,keas and wombats,-43.2890625,-45.623046875
44,keas and lions,-32.84375,-34.66015625
45,aardvarks and keas,-42.7109375,-46.91015625
46,bonobos and wombats,-40.453125,-42.2041015625
47,aardvarks and bonobos,-44.3017578125,-41.2021484375
48,ocarinas and vibraphones,-46.138671875,-48.21875
49,cymbals and ocarinas,-36.0498046875,-40.404296875
50,clarinets and ocarinas,-43.04296875,-42.51171875
51,cellos and ocarinas,-43.015625,-38.9677734375
52,didgeridoos and vibraphones,-64.271484375,-62.4375
53,lutes and marimbas,-37.6015625,-38.205078125
54,kalimbas and lutes,-43.876953125,-42.841796875
55,clarinets and kalimbas,-48.01171875,-44.369140625
56,kalimbas and trumpets,-43.38818359375,-46.052734375
57,cellos and kalimbas,-50.92578125,-43.66796875
58,kalimbas and saxophones,-42.531158447265625,-43.21484375
59,lutes and saxophones,-31.64794921875,-29.873046875
60,casserole and eagle,-29.958984375,-33.40234375
61,kite and linguist,-33.3505859375,-29.75390625
62,algorithm and perfume,-31.203125,-30.5
63,forest and screwdriver,-32.8291015625,-32.484375
64,slipper and volcano,-30.3125,-33.98828125
65,harmonica and microscope,-34.73046875,-31.3408203125
66,cookbook and zenith,-32.033203125,-34.5068359375
67,hammock and hydrogen,-29.9267578125,-33.9482421875
68,neuron and toaster,-31.09375,-33.46484375
69,marshmallow and telescope,-35.54638671875,-30.5810546875
70,casserole and optics,-32.638671875,-35.733642578125
71,encyclopedia and comet,-30.587890625,-29.912109375
72,nimbus and waffle,-36.10791015625,-33.791259765625
73,photon and pumpkin,-28.224609375,-32.4765625
74,lantern and syntax,-32.61328125,-31.0078125
75,echo and vineyard,-30.255859375,-29.9521484375
76,nebula and snowman,-34.314453125,-31.9697265625
77,botany and teapot,-39.516845703125,-34.27685546875
78,chisel and kaleidoscope,-33.78564453125,-36.7880859375
79,lava and teacup,-34.328125,-30.93359375
80,entropy and orchard,-35.80078125,-34.25390625
81,axolotl and vineyard,-42.3203125,-37.041259765625
82,clockwork and meadow,-34.69921875,-35.234375
83,algebra and telescope,-30.685546875,-26.3125
84,arcade and topaz,-31.689453125,-31.732421875
85,asteroid and compass,-29.76171875,-27.94140625
86,bicycle and nebula,-33.380859375,-35.97265625
87,bungalow and entropy,-35.75634765625,-36.49560546875
88,carnation and gnome,-32.779296875,-34.322265625
89,cinnamon and harmonica,-30.4921875,-33.79296875
90,coral and syntax,-32.634765625,-31.34375
91,dandelion and pendulum,-41.056640625,-37.93701171875
92,delirium and telescope,-31.5595703125,-31.1806640625
93,anchors and sandstorms,-30.23046875,-34.25390625
94,scissors and volcanoes,-33.1953125,-33.90625
95,equations and lanterns,-31.94482421875,-29.720703125
96,satellites and tulips,-32.17236328125,-30.8046875
97,compasses and hedgehogs,-30.7791748046875,-32.8798828125
98,comets and neckties,-37.05859375,-37.34375
99,castles and headphones,-30.3828125,-31.04296875
100,paperclips and pyramids,-35.103729248046875,-32.8131103515625
101,constellations and kettles,-44.2763671875,-35.3929443359375
102,kaleidoscopes and whales,-39.77294921875,-31.62237548828125
103,meadows and pianos,-33.107421875,-29.37109375
104,magnets and zebras,-29.27734375,-31.078125
105,parrots and submarines,-33.3489990234375,-29.4541015625
106,crayons and jungles,-31.3262939453125,-34.41796875
107,harbor and teapot,-31.6630859375,-32.81005859375
108,notebook and quicksand,-30.814453125,-33.271484375
109,glacier and lantern,-29.0264892578125,-29.985977172851562
110,microscope and puddle,-32.046875,-33.48046875
111,compass and swan,-28.55859375,-30.6953125
112,bonsai and cathedral,-37.236328125,-35.69921875
113,honeycomb and violin,-31.03125,-26.822265625
114,sailboat and stadium,-30.103515625,-31.564453125
115,acorns and skyscrapers,-39.07958984375,-37.306640625
116,bell and trellis,-27.35693359375,-32.353515625
117,inkwell and kite,-34.39453125,-36.12109375
118,foxglove and trombone,-34.84326171875,-37.61279296875
119,carousel and quill,-28.0380859375,-28.068359375
120,lighthouse and onion,-29.39453125,-32.107421875
121,cactus and chessboard,-33.69720458984375,-35.13877868652344
122,gallery and raindrop,-35.85546875,-40.0859375
123,cricket and plow,-32.6328125,-30.81640625
124,gingerbread and fresco,-37.66796875,-32.830078125
125,cello and sunflower,-34.8349609375,-30.6259765625
126,archway and quilt,-35.03125,-30.50390625
127,compass and haystack,-31.6015625,-30.18359375
128,beacon and millipede,-35.76953125,-40.67578125
129,parchment and windmill,-30.419921875,-31.505859375
130,candlestick and meadow,-32.125,-35.662109375
