,binom,Alpha Probs,Nonalpha Probs
0,kiwis and wolverines,-39.4609375,-46.5556640625
1,kiwis and narwhals,-42.62890625,-40.58203125
2,kiwis and ocelots,-40.736328125,-49.0
3,ibex and kiwis,-37.3359375,-37.84765625
4,harpies and kiwis,-33.36328125,-36.25
5,axolotls and wolverines,-47.947265625,-49.1689453125
6,axolotls and ibex,-47.615234375,-41.521484375
7,axolotls and harpies,-47.251953125,-40.97314453125
8,axolotls and keas,-52.208984375,-46.25390625
9,axolotls and bonobos,-48.066650390625,-42.9697265625
10,axolotls and wombats,-50.84765625,-49.4833984375
11,axolotls and lions,-45.150390625,-38.68359375
12,ocelots and platypuses,-57.41796875,-50.365234375
13,ibex and platypuses,-47.2890625,-48.080078125
14,harpies and platypuses,-41.73046875,-47.439453125
15,keas and platypuses,-47.91796875,-52.91015625
16,bonobos and platypuses,-48.1328125,-48.0078125
17,harpies and wolverines,-35.84326171875,-42.25537109375
18,keas and wolverines,-41.74609375,-48.796875
19,bonobos and wolverines,-38.138671875,-45.990234375
20,capybaras and ibex,-46.23046875,-42.93212890625
21,capybaras and harpies,-46.1708984375,-37.3193359375
22,capybaras and keas,-49.22265625,-44.337890625
23,ibex and narwhals,-42.6171875,-41.21484375
24,harpies and narwhals,-36.3525390625,-36.533935546875
25,keas and narwhals,-43.984375,-44.6796875
26,ibex and ocelots,-40.80859375,-51.08203125
27,keas and ocelots,-44.99609375,-52.953125
28,bonobos and ocelots,-38.7578125,-49.0
29,harpies and ibex,-36.4375,-37.80078125
30,ibex and keas,-38.9375,-39.42578125
31,bonobos and ibex,-36.513671875,-36.7626953125
32,ibex and koalas,-36.947265625,-43.2421875
33,ibex and sloths,-38.12109375,-41.818359375
34,aardvarks and ibex,-50.89453125,-44.6953125
35,harpies and keas,-39.6015625,-37.9248046875
36,bonobos and harpies,-36.9296875,-33.21630859375
37,harpies and koalas,-34.45703125,-43.1103515625
38,harpies and wombats,-42.703125,-41.78125
39,aardvarks and harpies,-48.318359375,-40.548828125
40,bonobos and keas,-40.88671875,-38.666259765625
41,keas and koalas,-42.953125,-45.17578125
42,keas and sloths,-40.8125,-43.623046875
43,keas and wombats,-48.27734375,-48.056640625
44,keas and lions,-35.53515625,-35.455078125
45,aardvarks and keas,-53.01953125,-49.3671875
46,bonobos and wombats,-44.26953125,-43.9658203125
47,aardvarks and bonobos,-51.72119140625,-45.849609375
48,ocarinas and vibraphones,-52.267578125,-51.984375
49,cymbals and ocarinas,-49.0859375,-45.5263671875
50,clarinets and ocarinas,-47.509765625,-42.2890625
51,cellos and ocarinas,-46.64453125,-42.8203125
52,didgeridoos and vibraphones,-64.59375,-64.3203125
53,lutes and marimbas,-39.0419921875,-42.22265625
54,kalimbas and lutes,-49.18359375,-45.0380859375
55,clarinets and kalimbas,-50.71484375,-46.22314453125
56,kalimbas and trumpets,-48.275390625,-50.1796875
57,cellos and kalimbas,-52.55078125,-48.03125
58,kalimbas and saxophones,-46.090972900390625,-45.4658203125
59,lutes and saxophones,-35.01715087890625,-31.1884765625
