Item,Word,Condition,Frequency,Predictability,Type,Sentences,PhrasalVerb,Filename,FilePath,OnsetTime,OffsetTime,Duration,CorrectAns,List
1,set up,Experimental,17421200,0.109674,Phrasal Verb,I set up the tent before the sun went down.,1,all_parts_combined_I_set_up_the_tent_before_the_sun_went_down_.wav,Stimuli/all_parts_combined_I_set_up_the_tent_before_the_sun_went_down_.wav,0.396,0.459,0.063,y,1
3,made up,Experimental,10588473,0.031559,Phrasal Verb,They made up after their argument and became friends again.,1,all_parts_combined_They_made_up_after_their_argument_and_became_friends_again_.wav,Stimuli/all_parts_combined_They_made_up_after_their_argument_and_became_friends_again_.wav,0.302,0.369,0.067,y,1
5,give up,Experimental,7285790,0.053753,Phrasal Verb,Don't give up your dreams; keep working towards them.,1,all_parts_combined_Don_t_give_up_your_dreams__keep_working_towards_them_.wav,Stimuli/all_parts_combined_Don_t_give_up_your_dreams__keep_working_towards_them_.wav,0.454,0.533,0.079,y,1
7,got up,Experimental,5106136,0.044536,Phrasal Verb,I got up early to catch the sunrise.,0,all_parts_combined_I_got_up_early_to_catch_the_sunrise_.wav,Stimuli/all_parts_combined_I_got_up_early_to_catch_the_sunrise_.wav,0.277,0.327,0.05,y,1
10,end up,Experimental,4458445,0.026937,Phrasal Verb,"Despite the challenges, we will all end up succeeding in our endeavors.",0,all_parts_combined_Despite_the_challenges__we_will_all_end_up_succeeding_in_our_endeavors_.wav,Stimuli/all_parts_combined_Despite_the_challenges__we_will_all_end_up_succeeding_in_our_endeavors_.wav,2.107,2.167,0.06,y,1
12,put up,Experimental,4152056,0.032211,Phrasal Verb,We put up a sign to advertise the garage sale.,1,all_parts_combined_We_put_up_a_sign_to_advertise_the_garage_sale_.wav,Stimuli/all_parts_combined_We_put_up_a_sign_to_advertise_the_garage_sale_.wav,0.241,0.312,0.071,y,1
13,went up,Experimental,3782203,0.029064,Phrasal Verb,The prices went up after the sale ended.,0,all_parts_combined_The_prices_went_up_after_the_sale_ended_.wav,Stimuli/all_parts_combined_The_prices_went_up_after_the_sale_ended_.wav,0.946,1.042,0.096,y,1
15,caught up,Experimental,3118432,0.13113,Phrasal Verb,He caught up with his friends after being away for a month.,1,all_parts_combined_He_caught_up_with_his_friends_after_being_away_for_a_month_.wav,Stimuli/all_parts_combined_He_caught_up_with_his_friends_after_being_away_for_a_month_.wav,0.371,0.515,0.144,y,1
18,show up,Experimental,2647069,0.026322,Phrasal Verb,"We expected him to show up, but he never came.",0,all_parts_combined_We_expected_him_to_show_up__but_he_never_came_.wav,Stimuli/all_parts_combined_We_expected_him_to_show_up__but_he_never_came_.wav,1.133,1.259,0.126,y,1
20,built up,Experimental,2506109,0.057947,Phrasal Verb,"Over the years, they built up a successful business.",1,all_parts_combined_Over_the_years__they_built_up_a_successful_business_.wav,Stimuli/all_parts_combined_Over_the_years__they_built_up_a_successful_business_.wav,1.417,1.496,0.079,y,1
22,hung up,Experimental,2282053,0.199488,Phrasal Verb,She hung up the phone and sighed in frustration.,1,all_parts_combined_She_hung_up_the_phone_and_sighed_in_frustration_.wav,Stimuli/all_parts_combined_She_hung_up_the_phone_and_sighed_in_frustration_.wav,0.464,0.536,0.072,y,1
24,opened up,Experimental,2064934,0.057834,Phrasal Verb,They opened up the container despite the warnings it was dangerous.,1,all_parts_combined_They_opened_up_the_container_despite_the_warnings_it_was_dangerous_.wav,Stimuli/all_parts_combined_They_opened_up_the_container_despite_the_warnings_it_was_dangerous_.wav,0.571,0.631,0.06,y,1
26,pulled up,Experimental,1855074,0.07794,Phrasal Verb,He pulled up a chair and joined the conversation.,1,all_parts_combined_He_pulled_up_a_chair_and_joined_the_conversation_.wav,Stimuli/all_parts_combined_He_pulled_up_a_chair_and_joined_the_conversation_.wav,0.451,0.538,0.087,y,1
28,walked up,Experimental,1586904,0.049107,Phrasal Verb,I walked up the stairs to reach the top floor.,0,all_parts_combined_I_walked_up_the_stairs_to_reach_the_top_floor_.wav,Stimuli/all_parts_combined_I_walked_up_the_stairs_to_reach_the_top_floor_.wav,0.762,0.829,0.067,y,1
29,summed up,Experimental,1556955,2.410808,Phrasal Verb,"To conclude, I summed up the main points of my presentation.",1,all_parts_combined_To_conclude__I_summed_up_the_main_points_of_my_presentation_.wav,Stimuli/all_parts_combined_To_conclude__I_summed_up_the_main_points_of_my_presentation_.wav,1.31,1.402,0.092,y,1
31,lined up,Experimental,1424968,0.283476,Phrasal Verb,The students lined up outside the classroom before the bell rang.,1,all_parts_combined_The_students_lined_up_outside_the_classroom_before_the_bell_rang_.wav,Stimuli/all_parts_combined_The_students_lined_up_outside_the_classroom_before_the_bell_rang_.wav,1.05,1.106,0.056,y,1
33,clean up,Experimental,1212806,0.055916,Phrasal Verb,Let's clean up the kitchen before guests arrive.,1,all_parts_combined_Let_s_clean_up_the_kitchen_before_guests_arrive_.wav,Stimuli/all_parts_combined_Let_s_clean_up_the_kitchen_before_guests_arrive_.wav,0.673,0.742,0.069,y,1
36,add up,Experimental,1117613,0.023427,Phrasal Verb,"The numbers don't add up, there must be a mistake.",1,all_parts_combined_The_numbers_don_t_add_up__there_must_be_a_mistake_.wav,Stimuli/all_parts_combined_The_numbers_don_t_add_up__there_must_be_a_mistake_.wav,0.981,1.112,0.131,y,1
37,live up,Experimental,1090890,0.015667,Phrasal Verb,He strives to live up to his parents' expectations.,0,all_parts_combined_He_strives_to_live_up_to_his_parents__expectations_.wav,Stimuli/all_parts_combined_He_strives_to_live_up_to_his_parents__expectations_.wav,1.146,1.261,0.115,y,1
40,bound up,Experimental,1050739,0.041472,Phrasal Verb,She bound up her hair to keep it out of her face.,1,all_parts_combined_She_bound_up_her_hair_to_keep_it_out_of_her_face_.wav,Stimuli/all_parts_combined_She_bound_up_her_hair_to_keep_it_out_of_her_face_.wav,0.489,0.553,0.064,y,1
42,locked up,Experimental,1048866,0.131014,Phrasal Verb,The thief was locked up in jail for his crimes.,1,all_parts_combined_The_thief_was_locked_up_in_jail_for_his_crimes_.wav,Stimuli/all_parts_combined_The_thief_was_locked_up_in_jail_for_his_crimes_.wav,1.042,1.114,0.072,y,1
43,rose up,Experimental,1041809,0.029747,Phrasal Verb,The crowd rose up and cheered for their favorite team.,0,all_parts_combined_The_crowd_rose_up_and_cheered_for_their_favorite_team_.wav,Stimuli/all_parts_combined_The_crowd_rose_up_and_cheered_for_their_favorite_team_.wav,0.866,0.965,0.099,y,1
