WordA,WordB,Form,Percept,Culture,Power,Intense,Icon,Freq,Len,Lapse,*BStress,OverallFreq,CollegeFreq,LogOverallFreq,RelFreq,GenPref,Use?,Bin,Too weird?,Sentence,Sentence (WordA and WordB),Sentence (WordB and WordA)
men,women,0,0,0,1,0,0,0.3584133588,1,1,1,7628255,7072,15.84736967,0.9064281412,0.7288977898,1,1,,The guard instructed the X and Y to form an orderly line.,The guard instructed the men and women to form an orderly line.,The guard instructed the women and men to form an orderly line.
black,white,0,-1,0,0,0,0,-0.2122806941,0,0,0,2268565,2103,14.63465803,0.8322018545,0.4175274348,1,1,,Dalmatians found in colors other than X and Y are highly unusual.,Dalmatians found in colors other than black and white are highly unusual.,Dalmatians found in colors other than white and black are highly unusual.
day,night,0,1,0,0,0,0,0.8583703995,0,0,0,1876827,1740,14.44509314,0.6975288612,0.6072214991,1,1,,It is harder to tell the difference between X and Y if you can't see.,It is harder to tell the difference between day and night if you can't see.,It is harder to tell the difference between night and day if you can't see.
boys,girls,0,0,0,1,0,0,0.05606428479,0,0,0,1835429,1702,14.4227888,0.8825195635,0.6258780033,1,1,,The teacher separated the X and Y into two groups.,The teacher separated the boys and girls into two groups.,The teacher separated the girls and boys into two groups.
left,right,0,-1,0,0,0,0,-0.3266325745,0,0,0,1786858,1657,14.39596933,0.4326717624,0.4145117214,1,1,,You should look X and Y before crossing the street.,You should look left and right before crossing the street.,You should look right and left before crossing the street.
female,male,0,0,0,-1,0,0,-0.00993680325,-1,0,0,1742846,1616,14.37102997,0.07364792988,0.349332677,1,1,,The dog breeder has X and Y puppies coming up for sale soon.,The dog breeder has female and male puppies coming up for sale soon.,The dog breeder has male and female puppies coming up for sale soon.
father,mother,0,0,-1,1,0,0,0.09217508165,0,0,0,1590868,1475,14.27979034,0.601676569,0.5201660155,1,1,,"Because Stephanie was grounded, her X and Y would not permit her to go out with her friends.","Because Stephanie was grounded, her father and mother would not permit her to go out with her friends.","Because Stephanie was grounded, her mother and father would not permit her to go out with her friends."
goods,services,0,1,0,0,0,0,-0.6714799088,2,2,1,1553253,1440,14.255862,0.9925981151,0.6638593473,1,1,,The village people would not trade X and Y for money because they don't use currency.,The village people would not trade goods and services for money because they don't use currency.,The village people would not trade services and goods for money because they don't use currency.
north,south,0,0,1,0,0,0,-0.03060051977,0,0,0,1532336,1421,14.24230393,0.9390120705,0.610818675,1,1,,The family moved X and Y a couple of times before deciding on their current home.,The family moved north and south a couple of times before deciding on their current home.,The family moved south and north a couple of times before deciding on their current home.
development,research,0,0,0,0,0,-1,0.2227148319,-1,-1,0,1380352,1280,14.1378491,0.01925016228,0.2293127498,1,1,,"The scientist had a lot of X and Y to do, because he had been sick for a long time.","The scientist had a lot of development and research to do, because he had been sick for a long time.","The scientist had a lot of research and development to do, because he had been sick for a long time."
place,time,0,1,0,0,0,0,-1.106275998,0,0,0,1218090,1129,14.01279462,0.1386769451,0.5553675804,1,1,,Finding a X and Y for the meeting was very difficult due to the boss's busy schedule.,Finding a place and time for the meeting was very difficult due to the boss's busy schedule.,Finding a time and place for the meeting was very difficult due to the boss's busy schedule.
death,life,0,-1,-1,0,0,-1,-1.058483404,0,0,0,1142991,1060,13.94915907,0.0619278717,0.1047131005,1,1,,It is hard to tell the difference between X and Y when you are in purgatory.,It is hard to tell the difference between death and life when you are in purgatory.,It is hard to tell the difference between life and death when you are in purgatory.
brothers,sisters,0,0,0,1,0,0,0.5696933591,0,0,0,1102312,1022,13.91292035,0.9142402514,0.6388390377,1,1,,When we were younger my X and Y wanted a Beagle puppy.,When we were younger my brothers and sisters wanted a Beagle puppy.,When we were younger my sisters and brothers wanted a Beagle puppy.
husband,wife,0,0,0,1,0,0,-0.5142614292,-1,-1,-1,1075512,997,13.88830739,0.9745981449,0.5027550125,1,1,, Because the X and Y didn't love each other anymore they pondered going their separate ways., Because the husband and wife didn't love each other anymore they pondered going their separate ways., Because the wife and husband didn't love each other anymore they pondered going their separate ways.
gas,oil,0,-1,0,0,0,0,-0.3103242207,0,0,0,1040905,965,13.85560109,0.0854477594,0.414941423,1,1,,"Sam had just bought a new car and didn't know the difference between X and Y, so she ruined her car.","Sam had just bought a new car and didn't know the difference between gas and oil, so she ruined her car.","Sam had just bought a new car and didn't know the difference between oil and gas, so she ruined her car."
pepper,salt,0,0,-1,0,0,0,-1.263496356,-1,-1,-1,831039,770,13.630432,0.06075045816,0.2688838616,1,2,,The food is in need of X and Y because it's rather bland.,The food is in need of pepper and salt because it's rather bland.,The food is in need of salt and pepper because it's rather bland.
fall,rise,0,-1,0,0,0,0,0.3347214028,0,0,0,746325,692,13.52291644,0.02994807892,0.4320348317,1,2,,I've gotten particularly ill due to the X and Y of the waves out at sea.,I've gotten particularly ill due to the fall and rise of the waves out at sea.,I've gotten particularly ill due to the rise and fall of the waves out at sea.
arms,legs,0,1,0,0,0,0,0.7791549871,0,0,0,667976,619,13.41200752,0.8369926464,0.6051687367,1,2,,Sandra broke her X and Y because she got into a bike accident.,Sandra broke her arms and legs because she got into a bike accident.,Sandra broke her legs and arms because she got into a bike accident.
fruits,vegetables,0,0,0,0,0,0,0.1280170548,2,2,1,667661,619,13.41153584,0.8501050683,0.6085325242,1,2,,"Growing up, Paul ate his X and Y everyday in order to be healthy.","Growing up, Paul ate his fruits and vegetables everyday in order to be healthy.","Growing up, Paul ate his vegetables and fruits everyday in order to be healthy."
arts,sciences,0,0,0,-1,0,0,0.3541541162,2,2,1,618850,574,13.3356182,0.9544574614,0.4933750742,1,2,,"Carol couldn't decide between X and Y when applying for college majors, so she chose an interdisciplinary route.","Carol couldn't decide between arts and sciences when applying for college majors, so she chose an interdisciplinary route.","Carol couldn't decide between sciences and arts when applying for college majors, so she chose an interdisciplinary route."
gentlemen,ladies,0,0,-1,1,0,0,-0.2839974774,-1,-1,0,501922,465,13.12620001,0.09135283968,0.5176318827,1,2,,The hostess in the venue lead the X and Y to their respective tables at the wedding banquet.,The hostess in the venue lead the gentlemen and ladies to their respective tables at the wedding banquet.,The hostess in the venue lead the ladies and gentlemen to their respective tables at the wedding banquet.
feelings,thoughts,0,0,0,0,1,0,0.05724048419,-1,-1,-1,480072,445,13.08169137,0.1513647953,0.418338269,1,2,,"Whenever Pat was frustrated, her X and Y got muddled and she couldn't make any decisions.","Whenever Pat was frustrated, her feelings and thoughts got muddled and she couldn't make any decisions.","Whenever Pat was frustrated, her thoughts and feelings got muddled and she couldn't make any decisions."
diagnosis,treatment,0,0,0,0,0,1,-1.43873998,-2,0,0,448278,416,13.01316885,0.9913000415,0.7012967742,1,2,,Marissa found that her X and Y at the hospital were completely different from what she anticipated.,Marissa found that her diagnosis and treatment at the hospital were completely different from what she anticipated.,Marissa found that her treatment and diagnosis at the hospital were completely different from what she anticipated.
groups,individuals,0,-1,0,0,0,0,0.5997293755,4,2,1,441733,410,12.99846091,0.2521455268,0.6121010232,1,2,,Differentiating between X and Y became increasingly difficult as the crowd grew larger.,Differentiating between groups and individuals became increasingly difficult as the crowd grew larger.,Differentiating between individuals and groups became increasingly difficult as the crowd grew larger.
knowledge,skills,0,0,-1,0,0,0,1.139123909,-1,-1,-1,437430,406,12.98867197,0.6686052626,0.3231168779,1,2,,"Although Cassie's X and Y were both strong, her exams were still difficult.","Although Cassie's knowledge and skills were both strong, her exams were still difficult.","Although Cassie's skills and knowledge were both strong, her exams were still difficult."
heart,mind,0,-1,0,0,0,0,-0.2095178582,0,0,0,433049,401,12.97860616,0.4663144355,0.4176003743,1,2,,It took a long time for Sarah's X and Y to recover after her husband died.,It took a long time for Sarah's heart and mind to recover after her husband died.,It took a long time for Sarah's mind and heart to recover after her husband died.
influence,power,0,0,0,-1,0,0,-1.060110212,-1,-1,0,314032,291,12.65725017,0.1889011311,0.3634781975,1,2,,The employee used her X and Y in the company in order to get a raise.,The employee used her influence and power in the company in order to get a raise.,The employee used her power and influence in the company in order to get a raise.
Africa,Asia,0,0,-1,-1,0,0,0.5240896746,-1,-1,0,293128,272,12.58836465,0.4093638274,0.3044666301,1,2,,My colleague wanted to visit X and Y this year for a vacation with her husband.,My colleague wanted to visit Africa and Asia this year for a vacation with her husband.,My colleague wanted to visit Asia and Africa this year for a vacation with her husband.
addresses,names,0,0,-1,0,0,0,-1.569231594,-2,-1,-1,273323,253,12.51840952,0.00702465581,0.2353273723,1,2,,The company collected hundreds of X and Y for a petition they wanted to pass in June.,The company collected hundreds of addresses and names for a petition they wanted to pass in June.,The company collected hundreds of names and addresses for a petition they wanted to pass in June.
poetry,prose,0,0,-1,0,0,0,1.228842559,-2,-2,-1,222228,206,12.31145916,0.5465962885,0.3320201544,1,2,,The professor taught both X and Y in his Renaissance literature class.,The professor taught both poetry and prose in his Renaissance literature class.,The professor taught both prose and poetry in his Renaissance literature class.
forefinger,thumb,0,0,1,-1,0,0,-1.902043309,-2,-1,-1,193360,179,12.17230902,0.1029064957,0.3033865346,1,3,,The ability to use the X and Y are very important evolutionary traits that differentiate humans from apes.,The ability to use the forefinger and thumb are very important evolutionary traits that differentiate humans from apes.,The ability to use the thumb and forefinger are very important evolutionary traits that differentiate humans from apes.
