cosine_diffs,binom
-0.008852554485201836,abandon and fervor
-0.031504880636930466,ability and age
-0.03769383952021599,ability and desire
-0.028432318940758705,ability and strength
0.004086111672222614,accessories and aircraft
0.017906975001096725,acids and tannin
0.01047591958194971,acknowledgment and authentication
-0.03200414031744003,action and interests
-0.019827600568532944,action and character
-0.0121033089235425,actions and feelings
-0.002658052369952202,adaptations and cycles
-0.0037459442391991615,addresses and names
-0.01528976485133171,adherent and advocate
-0.01700035110116005,adventure and romance
-0.029512470588088036,age and day
0.005375126376748085,agencies and individuals
-0.0011854441836476326,aggression and hostility
0.006200093775987625,agreements and contracts
-0.024289662018418312,aims and backgrounds
-0.005832064896821976,aircraft and ships
-0.009065605700016022,allegory and expressiveness
-0.026514986529946327,amateurs and collectors
-0.02286638505756855,amber and froth
0.004389142617583275,ambiguities and fears
-0.025399668142199516,ambiguities and urgencies
-0.0022483747452497482,ambition and poverty
-0.024150734767317772,ambush and death
0.010181210935115814,ammunition and guns
-0.017437603324651718,amusement and pride
-0.0211035069078207,anger and anxiety
-0.03172443062067032,anger and fear
-0.01860079914331436,anger and hatred
-0.005605331622064114,anger and indignation
-0.018534686416387558,angst and science
-0.013704277575016022,anguish and pain
-0.006270855665206909,animosity and resistance
-0.007076706737279892,anthropologist and engineer
-0.006440598517656326,anthropology and psychology
-0.00785295944660902,anxiety and hazards
5.495063960552216e-4,appliances and cosmetics
0.01384880393743515,apprehension and fear
0.025467244908213615,apprenticeship and learning
0.007166652008891106,aqueducts and tombs
-0.009315695613622665,arms and hands
-0.015264842659235,arms and legs
-0.025816911831498146,arrows and crosses
0.0010218042880296707,articulation and establishment
-0.01850930042564869,arts and crafts
-0.016592703759670258,arts and sciences
7.747393101453781e-5,aspirations and dignity
-0.002098673954606056,assistant and confidante
-0.026064513251185417,attitude and culture
-0.0048398952931165695,attraction and conflict
-0.015261415392160416,attractions and repulsions
-0.004509438294917345,aunt and uncle
-0.04010709375143051,austerity and denial
-0.020503606647253036,authority and decency
-0.02095509134232998,background and dancers
-0.022481197491288185,bale and box
-0.020805198699235916,bankers and friends
-0.04326653480529785,bankruptcy and death
-0.007909176871180534,barnyard and coop
0.01817171461880207,barriers and stakes
0.009831253439188004,beech and horse-chestnut
0.025324691087007523,beginnings and greetings
0.014021954499185085,bellboy and chambermaid
-0.019390150904655457,benefactor and sponsor
-0.02774300053715706,berries and gardens
-0.014592031016945839,bicep and forearm
-0.030976787209510803,bitterness and youth
0.007887599058449268,bleats and rasps
