cosine_diffs,binom
0.646484375,abandon and fervor
0.7216796875,ability and age
0.7802734375,ability and desire
0.7431640625,ability and strength
0.75537109375,accessories and aircraft
0.86474609375,acids and tannin
0.751953125,acknowledgment and authentication
0.74169921875,action and interests
0.68359375,action and character
0.6171875,actions and feelings
0.74951171875,adaptations and cycles
0.779296875,addresses and names
0.68798828125,adherent and advocate
0.724609375,adventure and romance
0.689453125,age and day
0.7724609375,agencies and individuals
0.67919921875,aggression and hostility
0.779296875,agreements and contracts
0.67529296875,aims and backgrounds
0.82763671875,aircraft and ships
0.74267578125,allegory and expressiveness
0.63623046875,amateurs and collectors
0.67626953125,amber and froth
0.8369140625,ambiguities and fears
0.8076171875,ambiguities and urgencies
0.7958984375,ambition and poverty
0.7216796875,ambush and death
0.73193359375,ammunition and guns
0.646484375,amusement and pride
0.61962890625,anger and anxiety
0.736328125,anger and fear
0.72998046875,anger and hatred
0.65966796875,anger and indignation
0.69140625,angst and science
0.77294921875,anguish and pain
0.7958984375,animosity and resistance
0.7158203125,anthropologist and engineer
0.7958984375,anthropology and psychology
0.77099609375,anxiety and hazards
0.8134765625,appliances and cosmetics
0.67138671875,apprehension and fear
0.71484375,apprenticeship and learning
0.7314453125,aqueducts and tombs
0.7119140625,arms and hands
0.6171875,arms and legs
0.64599609375,arrows and crosses
0.81982421875,articulation and establishment
0.63330078125,arts and crafts
0.7177734375,arts and sciences
0.79052734375,aspirations and dignity
0.833984375,assistant and confidante
0.66064453125,attitude and culture
0.83837890625,attraction and conflict
0.7822265625,attractions and repulsions
0.7294921875,aunt and uncle
0.70166015625,austerity and denial
0.810546875,authority and decency
0.74072265625,background and dancers
0.59375,bale and box
0.73583984375,bankers and friends
0.71240234375,bankruptcy and death
0.642578125,barnyard and coop
0.7314453125,barriers and stakes
0.85009765625,beech and horse-chestnut
0.734375,beginnings and greetings
0.72900390625,bellboy and chambermaid
0.73828125,benefactor and sponsor
0.84423828125,berries and gardens
0.6845703125,bicep and forearm
0.71044921875,bitterness and youth
0.77783203125,bleats and rasps
0.79736328125,bleedings and pills
0.82177734375,boards and two-by-fours
0.70751953125,boy and mount
0.6845703125,cables and communiques
0.60888671875,cakes and comfort
0.740234375,calmness and detachment
0.80615234375,capture and isolation
0.72314453125,career and wanderings
0.81103515625,carpet and tile
0.63818359375,catholics and non-catholics
0.81591796875,ceremonies and exhortations
0.70458984375,chair and floor
0.74169921875,charters and contracts
0.77734375,cherries and pineapple
0.728515625,childhood and hobo
0.814453125,choir and glee-club
0.83154296875,chorus and verses
0.83544921875,clarification and reexamination
0.73974609375,clarity and flavor
