cosine_diffs,binom
-0.008852525614202023,abandon and fervor
-0.03150487318634987,ability and age
-0.03769383952021599,ability and desire
-0.028432318940758705,ability and strength
0.004086107015609741,accessories and aircraft
0.01790696196258068,acids and tannin
0.010475914925336838,acknowledgment and authentication
-0.032004110515117645,action and interests
-0.019827600568532944,action and character
-0.0121033089235425,actions and feelings
-0.002658028155565262,adaptations and cycles
-0.0037459423765540123,addresses and names
-0.01528974063694477,adherent and advocate
-0.01700032502412796,adventure and romance
-0.029512492939829826,age and day
0.005375104025006294,agencies and individuals
-0.0011854632757604122,aggression and hostility
0.006200076080858707,agreements and contracts
-0.024289671331644058,aims and backgrounds
-0.005832057446241379,aircraft and ships
-0.009065533056855202,allegory and expressiveness
-0.02651498280465603,amateurs and collectors
-0.02286635711789131,amber and froth
0.004389186389744282,ambiguities and fears
-0.025399602949619293,ambiguities and urgencies
-0.0022484008222818375,ambition and poverty
-0.02415073662996292,ambush and death
0.010181231424212456,ammunition and guns
-0.01743762008845806,amusement and pride
-0.021103495731949806,anger and anxiety
-0.03172443062067032,anger and fear
-0.01860079914331436,anger and hatred
-0.005605300888419151,anger and indignation
-0.018534667789936066,angst and science
-0.013704244047403336,anguish and pain
-0.0062708305194973946,animosity and resistance
-0.007076719775795937,anthropologist and engineer
-0.006440620869398117,anthropology and psychology
-0.007852951996028423,anxiety and hazards
5.495306104421616e-4,appliances and cosmetics
0.013848830945789814,apprehension and fear
0.025467263534665108,apprenticeship and learning
0.0071666426956653595,aqueducts and tombs
-0.009315693750977516,arms and hands
-0.015264842659235,arms and legs
-0.025816911831498146,arrows and crosses
0.001021762378513813,articulation and establishment
-0.0185092743486166,arts and crafts
-0.01659267768263817,arts and sciences
7.748790085315704e-5,aspirations and dignity
-0.002098575234413147,assistant and confidante
-0.02606450393795967,attitude and culture
-0.0048398785293102264,attraction and conflict
-0.015261395834386349,attractions and repulsions
-0.004509455990046263,aunt and uncle
-0.04010710492730141,austerity and denial
-0.0205035712569952,authority and decency
-0.020955080166459084,background and dancers
-0.022481191903352737,bale and box
-0.020805176347494125,bankers and friends
-0.04326651617884636,bankruptcy and death
-0.007909169420599937,barnyard and coop
0.018171755596995354,barriers and stakes
0.009831253439188004,beech and horse-chestnut
0.025324705988168716,beginnings and greetings
0.014021947979927063,bellboy and chambermaid
-0.019390134140849113,benefactor and sponsor
-0.02774302288889885,berries and gardens
-0.014592018909752369,bicep and forearm
-0.030976764857769012,bitterness and youth
0.007887599058449268,bleats and rasps
-0.014683621004223824,bleedings and pills
0.00691908597946167,boards and two-by-fours
-0.029640445485711098,boy and mount
-0.0017999373376369476,cables and communiques
-0.004483913071453571,cakes and comfort
0.01050462294369936,calmness and detachment
-0.028548719361424446,capture and isolation
-0.006280014291405678,career and wanderings
0.021266011521220207,carpet and tile
0.013425882905721664,catholics and non-catholics
0.016315381973981857,ceremonies and exhortations
-7.823717314749956e-4,chair and floor
-0.023683426901698112,charters and contracts
-0.014321157708764076,cherries and pineapple
-0.02465490624308586,childhood and hobo
0.021423421800136566,choir and glee-club
0.019182249903678894,chorus and verses
-0.002608097158372402,clarification and reexamination
-0.02992927096784115,clarity and flavor
0.004677798133343458,clash and meeting
-0.0063254982233047485,classicist and mathematician
-0.009065454825758934,classifications and probings
0.017056025564670563,clergymen and parishioners
-0.017715778201818466,clerk and cook
0.0022226404398679733,clerks and postmasters
-0.011142721399664879,clothes and haircut
-0.00881151668727398,clothing and decorations
-0.007497163489460945,cologne and munich
-0.03457406535744667,community and customers
0.00356389582157135,competence and willingness
0.007315599359571934,composure and tranquility
-0.011943240649998188,concern and inquiry
-0.012380419299006462,contemplation and delight
0.011933655478060246,contortion and scream
-0.04728212207555771,control and needs
-0.011381035670638084,costume and decor
0.005569237284362316,courage and virility
-0.007106010802090168,courthouse and square
-0.005172189325094223,cover and pillows
-0.004012523218989372,coverings and veils
-0.019635794684290886,covers and towels
-0.010493500158190727,cowboy and rancher
-0.013983963057398796,criminality and madness
-0.018849505111575127,crisis and destruction
0.02489926666021347,cry and rustle
-0.026106851175427437,curiosity and foreboding
-0.01649845764040947,currents and rhythms
0.010602355934679508,dancers and guests
-0.02800380066037178,danger and nuisance
-0.016878345981240273,defeat and misfortune
0.005504242610186338,delirium and illness
0.007441658526659012,denial and ignorance
-0.021566681563854218,denials and sacrifices
-0.01228095218539238,derelicts and outcasts
-0.007860939018428326,design and outline
0.0058042979799211025,desire and response
-0.022349368780851364,desire and wishing
-0.010049378499388695,dialects and localisms
-0.014320303685963154,diamonds and mink
-1.9324570894241333e-4,diffidence and gentleness
-0.01657579466700554,direction and moment
-0.009738398715853691,directness and truth
0.0016613835468888283,disarray and impasse
0.0041144005954265594,disasters and sufferings
0.014193523675203323,disrespect and misunderstanding
-0.011692811734974384,distinction and tone
-0.011261296458542347,doctors and president
-0.024773254990577698,dogs and grandchildren
-0.015676388517022133,door and sill
0.005658448673784733,drawing and models
