,cosine_diffs,binom,layer
0,0.7245442867279053,abandon and fervor,0
1,0.738119900226593,ability and age,0
2,0.6889360547065735,ability and desire,0
3,0.7247036695480347,ability and strength,0
4,0.5670083165168762,accessories and aircraft,0
5,0.807763934135437,acids and tannin,0
6,0.6655226349830627,acknowledgment and authentication,0
7,0.7850160598754883,action and interests,0
8,0.7951982617378235,action and character,0
9,0.7528280019760132,actions and feelings,0
10,0.6664433479309082,adaptations and cycles,0
11,0.6575886011123657,addresses and names,0
12,0.5695095062255859,adherent and advocate,0
13,0.46602505445480347,adventure and romance,0
14,0.6656398773193359,age and day,0
15,0.5623089671134949,agencies and individuals,0
16,0.5589615106582642,aggression and hostility,0
17,0.6396966576576233,agreements and contracts,0
18,0.5343284606933594,aims and backgrounds,0
19,0.6188304424285889,aircraft and ships,0
20,0.9055354595184326,allegory and expressiveness,0
21,0.5135181546211243,amateurs and collectors,0
22,0.7301833033561707,amber and froth,0
23,0.8391534686088562,ambiguities and fears,0
24,0.9179513454437256,ambiguities and urgencies,0
25,0.5484536290168762,ambition and poverty,0
26,0.7833764553070068,ambush and death,0
27,0.6235519051551819,ammunition and guns,0
28,0.5883705615997314,amusement and pride,0
29,0.6645796298980713,anger and anxiety,0
30,0.6966448426246643,anger and fear,0
31,0.63266521692276,anger and hatred,0
32,0.7832558155059814,anger and indignation,0
33,0.793896496295929,angst and science,0
34,0.5897125005722046,anguish and pain,0
35,0.825057864189148,animosity and resistance,0
36,0.6960437297821045,anthropologist and engineer,0
37,0.7040668725967407,anthropology and psychology,0
38,0.6010210514068604,anxiety and hazards,0
39,0.5950723886489868,appliances and cosmetics,0
40,0.524398148059845,apprehension and fear,0
41,0.7722000479698181,apprenticeship and learning,0
42,0.9427661299705505,aqueducts and tombs,0
43,0.796334981918335,arms and hands,0
44,0.7574727535247803,arms and legs,0
45,0.7555151581764221,arrows and crosses,0
46,0.8306357264518738,articulation and establishment,0
47,0.686977744102478,arts and crafts,0
48,0.6906616687774658,arts and sciences,0
49,0.4405900835990906,aspirations and dignity,0
50,0.8035957217216492,assistant and confidante,0
51,0.6161484122276306,attitude and culture,0
52,0.5753776431083679,attraction and conflict,0
53,0.6926987767219543,attractions and repulsions,0
54,0.5652026534080505,aunt and uncle,0
55,0.7461630702018738,austerity and denial,0
56,0.6917362809181213,authority and decency,0
57,0.7114520072937012,background and dancers,0
58,0.8392782807350159,bale and box,0
59,0.6249589323997498,bankers and friends,0
60,0.6891328692436218,bankruptcy and death,0
61,0.7874028086662292,barnyard and coop,0
62,0.6163285374641418,barriers and stakes,0
63,0.9402061104774475,beech and horse-chestnut,0
64,0.7942355275154114,beginnings and greetings,0
65,0.8600989580154419,bellboy and chambermaid,0
66,0.831651508808136,benefactor and sponsor,0
67,0.805068850517273,berries and gardens,0
68,0.8745797872543335,bicep and forearm,0
