,cosine_diffs,binom,layer
0,0.7299423813819885,abandon and fervor,0
1,0.7631767988204956,ability and age,0
2,0.7331340312957764,ability and desire,0
3,0.7578153610229492,ability and strength,0
4,0.6042338609695435,accessories and aircraft,0
5,0.781830370426178,acids and tannin,0
6,0.7378497123718262,acknowledgment and authentication,0
7,0.8946952819824219,action and interests,0
8,0.8975623846054077,action and character,0
9,0.8426914811134338,actions and feelings,0
10,0.7150666117668152,adaptations and cycles,0
11,0.7547130584716797,addresses and names,0
12,0.62483811378479,adherent and advocate,0
13,0.5102889537811279,adventure and romance,0
14,0.7209935188293457,age and day,0
15,0.5545782446861267,agencies and individuals,0
16,0.6240884065628052,aggression and hostility,0
17,0.7208580374717712,agreements and contracts,0
18,0.6554797291755676,aims and backgrounds,0
19,0.6565546989440918,aircraft and ships,0
20,0.9088255763053894,allegory and expressiveness,0
21,0.5609055161476135,amateurs and collectors,0
22,0.7449715733528137,amber and froth,0
23,0.8804894089698792,ambiguities and fears,0
24,0.9403369426727295,ambiguities and urgencies,0
25,0.5455875992774963,ambition and poverty,0
26,0.8048302531242371,ambush and death,0
27,0.7136474847793579,ammunition and guns,0
28,0.5762116312980652,amusement and pride,0
29,0.6443009972572327,anger and anxiety,0
30,0.6724247336387634,anger and fear,0
31,0.6497817635536194,anger and hatred,0
32,0.7641913890838623,anger and indignation,0
33,0.8070271611213684,angst and science,0
34,0.5680178999900818,anguish and pain,0
35,0.8505412340164185,animosity and resistance,0
36,0.7257158756256104,anthropologist and engineer,0
37,0.7285479307174683,anthropology and psychology,0
38,0.7264507412910461,anxiety and hazards,0
39,0.6449195146560669,appliances and cosmetics,0
40,0.556261420249939,apprehension and fear,0
41,0.7849263548851013,apprenticeship and learning,0
42,0.9361236691474915,aqueducts and tombs,0
43,0.8663048148155212,arms and hands,0
44,0.8594260215759277,arms and legs,0
45,0.7923323512077332,arrows and crosses,0
46,0.8588219881057739,articulation and establishment,0
47,0.7628815174102783,arts and crafts,0
48,0.7569385170936584,arts and sciences,0
49,0.4931379556655884,aspirations and dignity,0
50,0.8258103132247925,assistant and confidante,0
51,0.6237968802452087,attitude and culture,0
52,0.59647136926651,attraction and conflict,0
53,0.7223039865493774,attractions and repulsions,0
54,0.6358601450920105,aunt and uncle,0
55,0.8472615480422974,austerity and denial,0
56,0.7674820423126221,authority and decency,0
57,0.8926455974578857,background and dancers,0
58,0.8752068281173706,bale and box,0
59,0.6845623254776001,bankers and friends,0
60,0.6978455781936646,bankruptcy and death,0
61,0.7808532118797302,barnyard and coop,0
62,0.6507819890975952,barriers and stakes,0
63,0.9562505483627319,beech and horse-chestnut,0
64,0.7834576368331909,beginnings and greetings,0
65,0.9134699106216431,bellboy and chambermaid,0
66,0.8978427052497864,benefactor and sponsor,0
67,0.8228158950805664,berries and gardens,0
68,0.9039658308029175,bicep and forearm,0
69,0.6325848698616028,bitterness and youth,0
70,0.8820163011550903,bleats and rasps,0
71,0.7039828300476074,bleedings and pills,0
72,0.9654528498649597,boards and two-by-fours,0
73,0.873404324054718,boy and mount,0
74,0.708240270614624,cables and communiques,0
75,0.61114102602005,cakes and comfort,0
76,0.7238621115684509,calmness and detachment,0
77,0.9019547700881958,capture and isolation,0
78,0.7167038917541504,career and wanderings,0
79,0.630514919757843,carpet and tile,0
80,0.9134435057640076,catholics and non-catholics,0
81,0.7076982259750366,ceremonies and exhortations,0
82,0.8929373025894165,chair and floor,0
83,0.9114722013473511,charters and contracts,0
84,0.8552379608154297,cherries and pineapple,0
85,0.7345799803733826,childhood and hobo,0
86,0.8175573945045471,choir and glee-club,0
87,0.6059570908546448,chorus and verses,0
88,0.5886214971542358,clarification and reexamination,0
89,0.5819680094718933,clarity and flavor,0
90,0.5805626511573792,clash and meeting,0
91,0.818536102771759,classicist and mathematician,0
92,0.7657845616340637,classifications and probings,0
93,0.959913969039917,clergymen and parishioners,0
94,0.5475212335586548,clerk and cook,0
95,0.9225224852561951,clerks and postmasters,0
96,0.8481531143188477,clothes and haircut,0
97,0.6584000587463379,clothing and decorations,0
98,0.7377936840057373,cologne and munich,0
99,0.9210605621337891,community and customers,0
100,0.479922890663147,competence and willingness,0
101,0.6710442304611206,composure and tranquility,0
102,0.6731213331222534,concern and inquiry,0
103,0.7119515538215637,contemplation and delight,0
104,0.82541823387146,contortion and scream,0
105,0.9317246675491333,control and needs,0
106,0.6111578941345215,costume and decor,0
107,0.7340961694717407,courage and virility,0
108,0.6750365495681763,courthouse and square,0
109,0.9271025061607361,cover and pillows,0
110,0.9471918344497681,coverings and veils,0
111,0.548946738243103,covers and towels,0
112,0.7868899703025818,cowboy and rancher,0
113,0.9380024671554565,criminality and madness,0
114,0.47184374928474426,crisis and destruction,0
115,0.9057344198226929,cry and rustle,0
116,0.8031619787216187,curiosity and foreboding,0
117,0.6876983642578125,currents and rhythms,0
118,0.649334728717804,dancers and guests,0
119,0.8621991276741028,danger and nuisance,0
120,0.6983500719070435,defeat and misfortune,0
121,0.6998680830001831,delirium and illness,0
122,0.5784924030303955,denial and ignorance,0
123,0.8566027283668518,denials and sacrifices,0
